qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|62909765|ref|YP_227604.1|	147	1205053408	WP_087768457	144	84.72	122	254	8e-84	28152	terminase [Yersinia kristensenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia kristensenii
0	gi|62909765|ref|YP_227604.1|	147	657683474	WP_029485139	144	68.97	100	206	8e-65	547	MULTISPECIES: terminase [Enterobacter]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|62909765|ref|YP_227604.1|	147	1065030474	WP_069476786	145	67.59	98	205	1e-64	54291	terminase [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|62909765|ref|YP_227604.1|	147	1092892779	WP_070799278	144	68.97	100	205	2e-64	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62909765|ref|YP_227604.1|	147	554925210	WP_023197211	144	68.97	100	204	3e-64	28901	phage terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62909765|ref|YP_227604.1|	147	779858338	WP_045351069	144	68.28	99	203	1e-63	354276	MULTISPECIES: terminase [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|62909765|ref|YP_227604.1|	147	696366314	WP_032941333	144	67.59	98	202	2e-63	546	terminase [Citrobacter freundii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0	gi|62909765|ref|YP_227604.1|	147	1103803355	WP_071698543	145	66.9	97	199	7e-62	546	terminase [Citrobacter freundii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0	gi|62909765|ref|YP_227604.1|	147	1031835633	WP_064161285	144	67.12	98	199	7e-62	573	terminase [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|62909765|ref|YP_227604.1|	147	757651076	WP_042889871	144	66.9	97	198	1e-61	1812934	terminase [Enterobacter cloacae complex 'Hoffmann cluster III']	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex 'Hoffmann cluster III'
0	gi|62909765|ref|YP_227604.1|	147	695792813	WP_032707027	144	67.81	99	198	1e-61	548	terminase [Klebsiella aerogenes]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
0	gi|62909765|ref|YP_227604.1|	147	1227534987	WP_094089341	144	66.9	97	197	2e-61	158836	terminase [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
