qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410491225|ref|YP_006906447.1|	123	506585241	WP_016051441	123	100	123	247	1e-81	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	695306870	WP_032509045	123	96.75	119	241	4e-79	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	506584858	WP_016051058	123	93.5	115	201	1e-63	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	1121653524	WP_073868148	82	97.56	80	159	1e-47	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	1121653522	WP_073868146	82	97.56	80	159	1e-47	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	1121653514	WP_073868138	82	96.34	79	156	2e-46	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	1121653527	WP_073868151	82	92.68	76	120	2e-32	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	1121653536	WP_073868158	90	87.5	70	115	3e-30	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	1008818628	WP_061870189	74	95.89	70	114	5e-30	216816	hypothetical protein, partial [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491225|ref|YP_006906447.1|	123	1121653533	WP_073868155	83	81.71	67	107	2e-27	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491225|ref|YP_006906447.1|	123	552881140	WP_023031742	110	39.81	43	86.3	9e-19	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|410491226|ref|YP_006906448.1|	503	506585242	WP_016051442	503	100	503	1007	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491226|ref|YP_006906448.1|	503	488476420	WP_002520090	503	95.43	480	948	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491226|ref|YP_006906448.1|	503	488475150	WP_002518820	443	95.26	422	834	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491226|ref|YP_006906448.1|	503	552881145	WP_023031743	504	63.89	322	665	0	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|410491226|ref|YP_006906448.1|	503	1174908225	WP_081581445	491	48.21	243	413	2e-135	1465825	hypothetical protein [Timonella senegalensis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Timonella	Timonella senegalensis
0	gi|410491226|ref|YP_006906448.1|	503	1057255849	WP_068625816	480	47.42	239	394	3e-128	43678	hypothetical protein [Oerskovia enterophila]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Oerskovia	Oerskovia enterophila
0	gi|410491226|ref|YP_006906448.1|	503	1199030124	WP_087136117	489	47.9	239	378	8e-122	331618	hypothetical protein [Mycetocola reblochoni]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola reblochoni
0	gi|410491226|ref|YP_006906448.1|	503	1073097319	WP_069983631	494	46.37	236	372	2e-119	139208	hypothetical protein [Isoptericola variabilis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola variabilis
0	gi|410491226|ref|YP_006906448.1|	503	1180256425	WP_083775230	438	49.77	220	368	1e-118	43674	hypothetical protein [Jonesia denitrificans]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans
0	gi|410491226|ref|YP_006906448.1|	503	1325723549	WP_101625600	483	40.32	202	346	1e-109	2020965	terminase [Bifidobacterium sp. 45]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium imperatoris
0	gi|410491226|ref|YP_006906448.1|	503	1172451260	WP_080825793	483	40.32	202	345	5e-109	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491226|ref|YP_006906448.1|	503	494111074	WP_007051855	470	42.2	203	325	2e-101	216816	hypothetical protein [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491226|ref|YP_006906448.1|	503	1306911022	WP_101026894	470	42	202	323	7e-101	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
