qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|639163150|ref|YP_009030533.1|	2009	517438602	WP_018609477	2192	33.4	312	433	9e-120	392736	hypothetical protein [Uliginosibacterium gangwonense]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Uliginosibacterium	Uliginosibacterium gangwonense
0	gi|639163150|ref|YP_009030533.1|	2009	1205013555	WP_087746262	2604	30.83	271	420	2e-115	12916	MULTISPECIES: hypothetical protein [Acidovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
0	gi|639163150|ref|YP_009030533.1|	2009	1152516733	WP_078363528	2587	32.5	300	414	1e-113	28066	hypothetical protein [Rhodoferax fermentans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax fermentans
0	gi|639163150|ref|YP_009030533.1|	2009	737655316	WP_035625124	2290	29.89	269	391	2e-106	1349818	hypothetical protein [Herminiimonas sp. CN]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas sp. CN
0	gi|639163150|ref|YP_009030533.1|	2009	519073430	WP_020229305	277	46.64	111	217	8e-59	1268622	hypothetical protein [Acidovorax sp. MR-S7]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. MR-S7
0	gi|639163150|ref|YP_009030533.1|	2009	1056060693	WP_067586391	2871	29.78	81	127	1e-25	1698521	hypothetical protein [Endozoicomonas ascidiicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas ascidiicola
0	gi|639163150|ref|YP_009030533.1|	2009	1057021068	WP_068432398	1888	25.1	127	120	2e-23	1663591	hypothetical protein [Magnetospirillum sp. XM-1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum sp. XM-1
0	gi|639163150|ref|YP_009030533.1|	2009	501511400	WP_012519337	2149	25.73	97	99.8	3e-17	314275	hypothetical protein [Alteromonas mediterranea]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea
0	gi|639163150|ref|YP_009030533.1|	2009	1219331761	WP_089347535	2143	23.45	102	81.3	1e-11	28107	hypothetical protein [Pseudoalteromonas espejiana]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas espejiana
0	gi|639163150|ref|YP_009030533.1|	2009	1198997004	WP_087106114	3272	26.79	75	81.3	2e-11	1960125	hypothetical protein [Endozoicomonas sp. S-B4-1U]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Parendozoicomonas	Parendozoicomonas haliclonae
0	gi|639163065|ref|YP_009030536.1|	318	1124633335	WP_074914218	313	52.56	164	323	2e-105	554344	hypothetical protein [Pseudomonas toyotomiensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas toyotomiensis
0	gi|639163065|ref|YP_009030536.1|	318	1132305615	WP_075963159	313	54.02	168	317	3e-103	1932111	hypothetical protein [Pseudomonas sp. PA15(2017)]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. PA15(2017)
0	gi|639163065|ref|YP_009030536.1|	318	1180832364	WP_084305398	315	53.21	166	304	3e-98	29435	hypothetical protein [Pseudomonas flavescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas flavescens
0	gi|639163065|ref|YP_009030536.1|	318	1067263809	WP_069564750	313	53.23	165	300	3e-96	1843691	hypothetical protein [Pseudomonas sp. 1D4]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 1D4
0	gi|639163065|ref|YP_009030536.1|	318	1067254006	WP_069561194	313	52.9	164	298	8e-96	1535636	hypothetical protein [Pseudomonas sp. ENNP23]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. ENNP23
0	gi|639163065|ref|YP_009030536.1|	318	1222332792	WP_090385816	312	49.27	135	273	5e-86	53406	hypothetical protein [Pseudomonas anguilliseptica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas anguilliseptica
0	gi|639163065|ref|YP_009030536.1|	318	1224404479	WP_092428136	519	48.66	127	256	4e-77	1135990	hypothetical protein [Pseudomonas sagittaria]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sagittaria
0	gi|639163065|ref|YP_009030536.1|	318	1252871787	WP_096826823	313	41.69	128	247	5e-76	300	hypothetical protein [Pseudomonas mendocina]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina
0	gi|639163065|ref|YP_009030536.1|	318	1180205251	WP_083724603	314	44.98	121	236	1e-71	254161	hypothetical protein [Pseudomonas pachastrellae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas pachastrellae
0	gi|639163065|ref|YP_009030536.1|	318	1222187748	WP_090242807	317	40.39	124	225	3e-67	425504	hypothetical protein [Pseudomonas guineae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas guineae
0	gi|639163065|ref|YP_009030536.1|	318	941470628	WP_055128456	314	40	118	219	3e-65	183795	hypothetical protein [Pseudomonas mediterranea]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mediterranea
0	gi|639163065|ref|YP_009030536.1|	318	759594506	WP_043312939	315	38.55	106	214	5e-63	1582493	hypothetical protein [Pseudomonas sp. PI1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. PI1
