qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|213163899|ref|YP_002321451.1|	804	896518494	WP_049423633	804	98.13	789	1647	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	896490698	WP_049400528	804	97.89	787	1639	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	1274423736	WP_099603935	804	97.51	784	1639	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	896486992	WP_049397901	804	97.39	783	1636	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	896563658	WP_049460322	804	97.39	783	1635	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	490254750	WP_004152725	804	97.26	782	1633	0	40324	DNA primase traC [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	1167839923	WP_080149260	804	96.89	779	1629	0	1761901	DNA primase [Stenotrophomonas sp. 92mfcol6.1]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas sp. 92mfcol6.1
0	gi|213163899|ref|YP_002321451.1|	804	950753020	WP_057500293	804	96.89	779	1626	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	896514911	WP_049420703	804	96.02	772	1614	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	923068216	WP_053451652	804	96.02	772	1593	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	1219222553	WP_089240125	804	95.9	771	1588	0	40323	MULTISPECIES: DNA primase [Stenotrophomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
0	gi|213163899|ref|YP_002321451.1|	804	754362125	WP_041863267	810	92.06	742	1505	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	1040958260	WP_065174994	804	86.82	698	1430	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	746555142	WP_039586160	803	77.61	624	1304	0	338	MULTISPECIES: DNA primase [Xanthomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
0	gi|213163899|ref|YP_002321451.1|	804	1122399447	WP_074057204	803	77.74	625	1303	0	90270	DNA primase [Xanthomonas gardneri]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas gardneri
0	gi|213163899|ref|YP_002321451.1|	804	515730580	WP_017163180	803	77.61	624	1301	0	1985254	hypothetical protein [Xanthomonas phaseoli]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas phaseoli
0	gi|213163899|ref|YP_002321451.1|	804	746394505	WP_039437147	803	77.86	626	1300	0	56459	DNA primase [Xanthomonas vasicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas vasicola
0	gi|213163899|ref|YP_002321451.1|	804	746396848	WP_039439212	803	77.74	625	1300	0	56459	DNA primase [Xanthomonas vasicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas vasicola
0	gi|213163899|ref|YP_002321451.1|	804	1215927919	WP_089112182	803	77.11	620	1296	0	346	DNA primase [Xanthomonas citri]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri
0	gi|213163899|ref|YP_002321451.1|	804	515732720	WP_017165320	803	77.49	623	1295	0	1985254	hypothetical protein [Xanthomonas phaseoli]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas phaseoli
0	gi|213163899|ref|YP_002321451.1|	804	1154210519	WP_078583199	802	76.99	619	1286	0	53413	DNA primase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
0	gi|213163899|ref|YP_002321451.1|	804	756166619	WP_042614828	805	76.77	618	1263	0	40324	DNA primase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|213163899|ref|YP_002321451.1|	804	966796977	WP_058563788	742	78.73	585	1212	0	56460	DNA primase, partial [Xanthomonas vesicatoria]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas vesicatoria
0	gi|213163899|ref|YP_002321451.1|	804	1326095505	WP_101926989	801	56.7	457	878	0	2027406	DNA primase [Luteimonas sp. 4-12]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. 4-12
0	gi|213163899|ref|YP_002321451.1|	804	1200044509	WP_087493966	815	54.06	446	856	0	1844971	DNA primase [Curvibacter sp. AEP1-3]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	Curvibacter sp. AEP1-3
0	gi|213163899|ref|YP_002321451.1|	804	1148598928	WP_077345016	829	54.6	457	855	0	12916	MULTISPECIES: DNA primase [Acidovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
0	gi|213163899|ref|YP_002321451.1|	804	797133433	WP_045839677	822	53.56	444	854	0	363952	DNA primase [Comamonas thiooxydans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas thiooxydans
0	gi|213163899|ref|YP_002321451.1|	804	929535662	WP_054075955	822	53.92	447	853	0	285	DNA primase [Comamonas testosteroni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
0	gi|213163899|ref|YP_002321451.1|	804	512589018	WP_016452982	822	54.39	452	853	0	80866	hypothetical protein [Delftia acidovorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans
0	gi|213163899|ref|YP_002321451.1|	804	921992620	WP_053282516	822	53.32	442	851	0	285	DNA primase [Comamonas testosteroni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
0	gi|213163899|ref|YP_002321451.1|	804	518761767	WP_019919056	799	53.07	423	851	0	1119528	hypothetical protein [Methyloversatilis discipulorum]	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	Methyloversatilis discipulorum
0	gi|213163899|ref|YP_002321451.1|	804	736345689	WP_034371692	822	53.68	445	850	0	285	DNA primase [Comamonas testosteroni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
0	gi|213163899|ref|YP_002321451.1|	804	815827800	WP_046460659	822	53.08	440	844	0	285	DNA primase [Comamonas testosteroni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
0	gi|213163899|ref|YP_002321451.1|	804	808078451	WP_046238261	822	54.27	451	841	0	80865	MULTISPECIES: DNA primase [Delftia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	
0	gi|213163899|ref|YP_002321451.1|	804	951148955	WP_057629531	823	51.8	417	840	0	405446	DNA primase [Stenotrophomonas terrae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas terrae
0	gi|213163899|ref|YP_002321451.1|	804	736368868	WP_034394083	822	53.72	448	831	0	80866	DNA primase [Delftia acidovorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans
0	gi|213163899|ref|YP_002321451.1|	804	916674011	WP_051281102	818	54.4	439	828	0	1076524	DNA primase [Rhodanobacter sp. OR92]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter sp. OR92
0	gi|213163899|ref|YP_002321451.1|	804	1328139377	WP_102247468	801	51.97	422	827	0	2067960	DNA primase [Azoarcus sp. SY39]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus sp. SY39
0	gi|213163899|ref|YP_002321451.1|	804	502679085	WP_012914761	822	51.92	420	820	0	29447	hypothetical protein [Xanthomonas albilineans]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas albilineans
0	gi|213163899|ref|YP_002321451.1|	804	518227051	WP_019397259	818	51.05	412	803	0	1211114	hypothetical protein [Pseudoxanthomonas sp. GW2]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas sp. GW2
0	gi|213163899|ref|YP_002321451.1|	804	760058140	WP_043741020	777	52.98	427	800	0	935863	DNA primase [Luteimonas sp. J29]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. J29
0	gi|213163899|ref|YP_002321451.1|	804	493946167	WP_006890117	803	49.44	399	797	0	173365	hypothetical protein [Methylobacter tundripaludum]	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter tundripaludum
0	gi|213163899|ref|YP_002321451.1|	804	502797067	WP_013032043	810	50.49	409	792	0	133539	hypothetical protein [Nitrosococcus halophilus]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus
0	gi|213163899|ref|YP_002321451.1|	804	551330103	WP_022949545	811	52.7	429	788	0	244365	hypothetical protein [Methylohalobius crimeensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylohalobius	Methylohalobius crimeensis
0	gi|213163899|ref|YP_002321451.1|	804	1155315169	WP_078997079	791	50.68	408	760	0	69	DNA primase [Lysobacter enzymogenes]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter enzymogenes
0	gi|213163899|ref|YP_002321451.1|	804	499559111	WP_011239894	833	46.79	394	727	0	551760	hypothetical protein [Aromatoleum aromaticum]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum
0	gi|213163899|ref|YP_002321451.1|	804	1057270954	WP_068638726	840	44.91	379	705	0	86174	DNA primase [Thauera butanivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera butanivorans
0	gi|213163899|ref|YP_002321451.1|	804	655002686	WP_028451871	778	44.32	355	643	0	362520	hypothetical protein [Chitinilyticum aquatile]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinilyticum	Chitinilyticum aquatile
0	gi|213163899|ref|YP_002321451.1|	804	517699316	WP_018869524	813	42.58	353	572	0	1239292	hypothetical protein [Thioalkalivibrio sp. ALgr3]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALgr3
0	gi|213163899|ref|YP_002321451.1|	804	948218162	WP_056875903	827	42.48	353	570	0	1736464	hypothetical protein [Pelomonas sp. Root1444]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Pelomonas sp. Root1444
0	gi|213163899|ref|YP_002321451.1|	804	1180518095	WP_084015169	810	42.04	351	570	0	37487	hypothetical protein [Marichromatium purpuratum]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
0	gi|213163899|ref|YP_002321451.1|	804	517705058	WP_018875266	818	40.91	340	560	0	1158757	hypothetical protein [Thioalkalivibrio sp. ALJ8]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALJ8
0	gi|213163899|ref|YP_002321451.1|	804	499689355	WP_011370089	833	40.73	314	545	5e-178	39765	hypothetical protein [Hydrogenovibrio crunogenus]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio crunogenus
0	gi|213163899|ref|YP_002321451.1|	804	740206533	WP_038048469	817	40.14	334	544	1e-177	1266908	hypothetical protein [Thioalkalivibrio sp. ALE6]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALE6
0	gi|213163899|ref|YP_002321451.1|	804	985593704	WP_060833293	821	41.3	325	499	2e-160	103855	hypothetical protein [Bordetella hinzii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella hinzii
0	gi|213163899|ref|YP_002321451.1|	804	1196467339	WP_086131777	837	34.25	286	411	2e-126	847	hypothetical protein [Oxalobacter formigenes]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes
