qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|222435671|ref|YP_002564099.1|	230	1160829890	WP_079676010	222	48.13	103	195	4e-58	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1123537527	WP_074248205	222	48.13	103	194	8e-58	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1285130662	WP_100459432	222	49.07	105	194	1e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1160762008	WP_079618413	222	48.6	104	192	3e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1123633108	WP_074321766	222	47.66	102	192	5e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1285189912	WP_100506988	222	47.2	101	191	1e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	515402267	WP_016891431	222	47.2	101	191	2e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1123635037	WP_074322325	222	48.13	103	191	2e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1285218468	WP_100523226	222	46.73	100	190	4e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	491226862	WP_005085146	222	46.73	100	190	4e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	918723261	WP_052586001	222	46.95	100	188	2e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1123633109	WP_074321767	224	45.37	103	186	8e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1160829891	WP_079676011	223	45.54	102	186	8e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|222435671|ref|YP_002564099.1|	230	1160762010	WP_079618415	224	45.45	105	186	8e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
