qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418489384|ref|YP_007003201.1|	151	557844074	WP_023466911	151	98.68	149	305	1e-103	1613	terminase [Lactobacillus fermentum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
0	gi|418489384|ref|YP_007003201.1|	151	1326029590	WP_101888740	151	96.69	146	302	2e-102	1613	terminase [Lactobacillus fermentum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
0	gi|418489384|ref|YP_007003201.1|	151	1279624021	WP_100191431	151	98.01	148	302	2e-102	1613	terminase [Lactobacillus fermentum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
0	gi|418489384|ref|YP_007003201.1|	151	1326063001	WP_101898104	151	70.2	106	214	8e-68	1624	terminase [Lactobacillus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
0	gi|418489384|ref|YP_007003201.1|	151	750154602	WP_040458677	155	67.74	105	214	2e-67	227943	terminase [Lactobacillus antri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus antri
0	gi|418489384|ref|YP_007003201.1|	151	1242614388	WP_095758514	151	69.54	105	213	2e-67	1624	terminase [Lactobacillus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
0	gi|418489384|ref|YP_007003201.1|	151	1017201470	WP_063164143	155	65.38	102	202	5e-63	1598	phage terminase small subunit P27 family [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|418489384|ref|YP_007003201.1|	151	1189257282	WP_085680634	155	65.38	102	201	1e-62	1598	phage terminase small subunit P27 family [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|418489384|ref|YP_007003201.1|	151	503689944	WP_013924020	155	65.38	102	201	1e-62	1578	MULTISPECIES: phage terminase small subunit P27 family [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|418489384|ref|YP_007003201.1|	151	1233129486	WP_094528935	155	65.61	103	201	1e-62	1598	phage terminase small subunit P27 family [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
