qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589892453|ref|YP_009008823.1|	218	1333905882	WP_103009451	215	31.68	64	107	2e-24	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|589892454|ref|YP_009008824.1|	380	1333905881	WP_103009450	386	37.57	142	252	5e-76	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|589892454|ref|YP_009008824.1|	380	742390501	WP_038869627	399	29.66	113	136	2e-32	413497	bacteriophage protein [Cronobacter dublinensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter dublinensis
0	gi|589892454|ref|YP_009008824.1|	380	1126562469	WP_075197960	399	28.53	97	135	5e-32	413502	hypothetical protein [Cronobacter turicensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis
0	gi|589892454|ref|YP_009008824.1|	380	754513228	WP_041923891	399	27.94	95	132	4e-31	413502	bacteriophage protein [Cronobacter turicensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis
0	gi|589892454|ref|YP_009008824.1|	380	1258239175	WP_097564040	399	28.36	95	129	5e-30	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|589892454|ref|YP_009008824.1|	380	1201355325	WP_087600159	399	28.36	95	129	5e-30	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|589892454|ref|YP_009008824.1|	380	1120938475	WP_073456061	399	28.74	98	127	2e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1016498725	WP_063085619	399	28.74	98	127	2e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1033051666	WP_064363326	399	28.24	96	127	3e-29	571	hypothetical protein [Klebsiella oxytoca]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0	gi|589892454|ref|YP_009008824.1|	380	921998710	WP_053287580	399	28.74	98	126	4e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1277366019	WP_100033158	399	29.03	99	126	4e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1033040841	WP_064353337	399	28.24	96	126	5e-29	571	hypothetical protein [Klebsiella oxytoca]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0	gi|589892454|ref|YP_009008824.1|	380	510912128	WP_016233436	399	28.74	98	126	6e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1261172288	WP_097736943	399	28.74	98	126	7e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1261227053	WP_097763446	399	28.15	96	125	7e-29	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	835744460	WP_047643989	399	28.45	97	125	9e-29	562	bacteriophage protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1184789683	WP_085332290	399	27.35	93	125	9e-29	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|589892454|ref|YP_009008824.1|	380	585352385	WP_024233995	399	28.74	98	125	1e-28	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	1255557039	WP_097457165	399	28.74	98	125	1e-28	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589892454|ref|YP_009008824.1|	380	510926709	WP_016247442	399	28.74	98	125	1e-28	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|589892454|ref|YP_009008824.1|	380	1269215180	WP_099098271	399	28.74	98	125	1e-28	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
