qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|66395841|ref|YP_240150.1|	126	445991278	WP_000069133	126	96.83	122	254	2e-84	1280	DNA-binding protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395841|ref|YP_240150.1|	126	506510301	WP_015977668	126	96.03	121	254	3e-84	1279	MULTISPECIES: hypothetical protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|66395841|ref|YP_240150.1|	126	686253950	WP_031838201	126	95.24	120	252	2e-83	1280	DNA-binding protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395841|ref|YP_240150.1|	126	686169583	WP_031794841	126	95.24	120	252	2e-83	1280	DNA-binding protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395841|ref|YP_240150.1|	126	686422655	WP_031917584	119	94.96	113	238	7e-78	1280	DNA-binding protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395841|ref|YP_240150.1|	126	488435583	WP_002504968	126	78.57	99	211	4e-67	1282	DNA-binding protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|66395841|ref|YP_240150.1|	126	1035887673	WP_064658446	126	78.57	99	210	6e-67	1282	DNA-binding protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|66395841|ref|YP_240150.1|	126	488400088	WP_002469473	126	78.57	99	210	6e-67	1279	MULTISPECIES: DNA-binding protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|66395841|ref|YP_240150.1|	126	487748228	WP_001830293	126	76.98	97	207	1e-65	1282	DNA-binding protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|66395841|ref|YP_240150.1|	126	896473699	WP_049391162	126	76.98	97	206	1e-65	1282	DNA-binding protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|66395841|ref|YP_240150.1|	126	920607284	WP_053018130	126	76	95	206	3e-65	1283	DNA-binding protein [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|66395841|ref|YP_240150.1|	126	920604389	WP_053015895	126	76	95	205	7e-65	1283	DNA-binding protein [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|66395841|ref|YP_240150.1|	126	920645091	WP_053033127	126	76	95	204	1e-64	1283	DNA-binding protein [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|66395841|ref|YP_240150.1|	126	1093477029	WP_070852500	126	75.4	95	201	2e-63	1715178	DNA-binding protein [Staphylococcus sp. HMSC062C03]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC062C03
0	gi|66395841|ref|YP_240150.1|	126	1092751739	WP_070677344	126	73.02	92	198	3e-62	1739470	DNA-binding protein [Staphylococcus sp. HMSC072D04]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC072D04
