qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|371496130|ref|YP_004957278.1|	387	500425488	WP_011930381	291	41.96	47	87	5e-16	1534	transcriptional regulator [Clostridium kluyveri]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri
0	gi|371496130|ref|YP_004957278.1|	387	1119800753	WP_072694796	246	46.15	42	84	4e-15	1911586	hypothetical protein [Marinilactibacillus sp. 15R]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus sp. 15R
0	gi|371496130|ref|YP_004957278.1|	387	917361415	WP_051968127	273	33.16	62	84	5e-15	33942	helix-turn-helix domain-containing protein [Brevibacillus thermoruber]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus thermoruber
0	gi|371496130|ref|YP_004957278.1|	387	654145619	WP_027724641	392	42.27	41	85.1	9e-15	340097	hypothetical protein [Tuberibacillus calidus]	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Tuberibacillus	Tuberibacillus calidus
0	gi|371496130|ref|YP_004957278.1|	387	916960748	WP_051567460	242	32.62	61	81.6	2e-14	45462	helix-turn-helix domain-containing protein [Brevibacillus borstelensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus borstelensis
0	gi|371496130|ref|YP_004957278.1|	387	504890604	WP_015077706	286	43.88	43	82.4	3e-14	2751	helix-turn-helix domain-containing protein [Carnobacterium maltaromaticum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium maltaromaticum
0	gi|371496130|ref|YP_004957278.1|	387	1238761219	WP_095397463	251	37.38	40	81.6	3e-14	2026236	helix-turn-helix domain-containing protein [Paenibacillus sp. 7541]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. 7541
0	gi|371496130|ref|YP_004957278.1|	387	932226317	WP_054300681	166	35	42	79.7	4e-14	1238	hypothetical protein [Piscirickettsia salmonis]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis
0	gi|371496130|ref|YP_004957278.1|	387	1223611459	WP_091647398	287	41.67	40	81.3	6e-14	349095	hypothetical protein [Megasphaera paucivorans]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera paucivorans
0	gi|371496130|ref|YP_004957278.1|	387	1223119287	WP_091159862	251	39.42	41	80.5	8e-14	1761874	helix-turn-helix domain-containing protein [Paenibacillus sp. 453mf]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. 453mf
0	gi|371496130|ref|YP_004957278.1|	387	1274390255	WP_099576948	242	43.96	40	80.1	9e-14	1891097	replication protein [Macrococcus sp. CCM 4927]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus sp. CCM 4927
