qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|237651467|ref|YP_002898938.1|	260	665845953	WP_031214069	269	36.03	98	163	9e-45	1287313	hypothetical protein [Mesorhizobium sp. LSJC255A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LSJC255A00
0	gi|237651467|ref|YP_002898938.1|	260	1070432517	WP_069729468	269	34.83	93	147	1e-38	472705	hypothetical protein [Pantoea conspicua]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea conspicua
0	gi|237651467|ref|YP_002898938.1|	260	1046476399	WP_065647742	269	34.33	92	132	6e-33	472693	hypothetical protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|237651467|ref|YP_002898938.1|	260	1079301134	WP_070111541	297	31.69	77	111	3e-25	56804	hypothetical protein [Glaciecola punicea]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola punicea
0	gi|237651467|ref|YP_002898938.1|	260	916691911	WP_051299002	299	39.6	59	108	5e-24	404770	hypothetical protein [Marinobacterium litorale]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium litorale
0	gi|237651467|ref|YP_002898938.1|	260	740516713	WP_038345655	327	28.97	62	78.6	2e-13	1561217	hypothetical protein [Acinetobacter sp. A47]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. A47
0	gi|237651467|ref|YP_002898938.1|	260	896127617	WP_049149113	305	35.26	55	74.7	3e-12	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651467|ref|YP_002898938.1|	260	489768540	WP_003672462	305	32.52	53	74.3	4e-12	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651467|ref|YP_002898938.1|	260	1279631762	WP_100198787	305	31.9	52	72.8	1e-11	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651467|ref|YP_002898938.1|	260	740734340	WP_038519626	318	31.29	51	71.6	4e-11	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651468|ref|YP_002898939.1|	175	820801636	WP_046762892	181	41.11	74	137	4e-37	56193	HNH endonuclease [Sphingobium chungbukense]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium chungbukense
0	gi|237651468|ref|YP_002898939.1|	175	655302331	WP_028711063	184	43.55	81	135	3e-36	82367	HNH endonuclease [Paracoccus pantotrophus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus pantotrophus
0	gi|237651468|ref|YP_002898939.1|	175	506610372	WP_016073689	201	43.01	80	135	4e-36	1525218	HNH endonuclease [Sulfitobacter sp. CB2047]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter sp. CB2047
0	gi|237651468|ref|YP_002898939.1|	175	1214080903	WP_088728416	203	40.11	71	130	5e-34	550	hypothetical protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|237651468|ref|YP_002898939.1|	175	1208954546	WP_088217231	192	39.44	71	129	7e-34	195105	HNH endonuclease [Haematobacter massiliensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	Haematobacter massiliensis
0	gi|237651468|ref|YP_002898939.1|	175	1172661162	WP_080934405	203	39.55	70	129	1e-33	61645	hypothetical protein [Enterobacter asburiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
0	gi|237651468|ref|YP_002898939.1|	175	1169133217	WP_080472479	203	39.55	70	129	2e-33	354276	MULTISPECIES: hypothetical protein [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|237651468|ref|YP_002898939.1|	175	1169108760	WP_080461217	203	39.55	70	128	2e-33	550	hypothetical protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|237651468|ref|YP_002898939.1|	175	1168774027	WP_080344072	203	39.55	70	128	3e-33	354276	MULTISPECIES: hypothetical protein [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|237651468|ref|YP_002898939.1|	175	1169132249	WP_080472016	210	39.55	70	128	4e-33	550	hypothetical protein, partial [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|237651468|ref|YP_002898939.1|	175	1258247553	WP_097570053	182	41.95	73	126	7e-33	28141	HNH endonuclease [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|237651468|ref|YP_002898939.1|	175	1169106718	WP_080459217	203	38.98	69	127	7e-33	550	hypothetical protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|237651468|ref|YP_002898939.1|	175	980964735	WP_059385054	182	41.95	73	125	2e-32	550	HNH endonuclease [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|237651468|ref|YP_002898939.1|	175	556415154	WP_023306767	203	40.35	69	125	3e-32	1812934	HNH endonuclease [Enterobacter cloacae complex 'Hoffmann cluster III']	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex 'Hoffmann cluster III'
0	gi|237651468|ref|YP_002898939.1|	175	655302326	WP_028711058	186	40.48	68	124	5e-32	82367	hypothetical protein [Paracoccus pantotrophus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus pantotrophus
0	gi|237651468|ref|YP_002898939.1|	175	1168776803	WP_080346848	203	40.35	69	125	5e-32	354276	MULTISPECIES: hypothetical protein [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|237651468|ref|YP_002898939.1|	175	493375779	WP_006332073	176	39.08	68	121	5e-31	1297570	HNH endonuclease [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
