qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|167832346|ref|YP_001686737.1|	191	730243634	WP_033947363	190	62.11	118	226	3e-71	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	959839584	WP_058128213	190	61.58	117	224	1e-70	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	757610067	WP_042855579	190	61.58	117	224	2e-70	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	553791362	WP_023122460	190	60.53	115	221	3e-69	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	730503843	WP_034031301	189	59.47	113	214	8e-67	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	730241608	WP_033945707	188	58.95	112	214	1e-66	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	730581810	WP_034049922	190	62.11	118	206	2e-63	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	730389274	WP_034004536	190	55.79	106	202	6e-62	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	1121400577	WP_073665321	190	54.74	104	198	2e-60	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|167832346|ref|YP_001686737.1|	191	1204945593	WP_087693523	190	55.26	105	197	6e-60	1986995	hypothetical protein [Pseudomonas sp. PE-S1G-1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. PE-S1G-1
