qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712916007|ref|YP_009103781.1|	778	516836734	WP_018123401	854	28.77	244	317	2e-91	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|712916007|ref|YP_009103781.1|	778	1200005700	WP_087473435	817	28.24	233	303	1e-86	96242	hypothetical protein [Nitrospira cf. moscoviensis SBR1015]	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira cf. moscoviensis SBR1015
0	gi|712916007|ref|YP_009103781.1|	778	1159279330	WP_079211872	825	27.56	226	287	1e-80	571256	hypothetical protein [Ochrobactrum pituitosum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum pituitosum
0	gi|712916007|ref|YP_009103781.1|	778	1173203734	WP_081093493	833	27.62	227	286	2e-80	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|712916007|ref|YP_009103781.1|	778	492895984	WP_006026390	818	25.82	213	280	4e-78	32008	MULTISPECIES: DNA-directed RNA polymerase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|712916007|ref|YP_009103781.1|	778	981643225	WP_059842166	819	27.65	227	279	9e-78	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|712916007|ref|YP_009103781.1|	778	1119270863	WP_072249625	848	26.66	225	276	1e-76	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|712916007|ref|YP_009103781.1|	778	981366018	WP_059580532	819	27.71	230	275	4e-76	111527	MULTISPECIES: DNA-directed RNA polymerase [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|712916007|ref|YP_009103781.1|	778	1258290714	WP_097587424	843	26.49	226	272	4e-75	380	hypothetical protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|712916007|ref|YP_009103781.1|	778	704402543	WP_033463140	821	26.3	217	271	5e-75	518	DNA-directed RNA polymerase [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
