qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|359802274|ref|YP_004935740.1|	256	917383131	WP_051989843	184	38.71	72	99	2e-21	320799	hypothetical protein [Gordonia soli]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia soli
0	gi|359802274|ref|YP_004935740.1|	256	1046284025	WP_065631621	205	40.52	62	95.1	7e-20	1857893	hypothetical protein [Gordonia sp. UCD-TK1]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia sp. UCD-TK1
0	gi|359802274|ref|YP_004935740.1|	256	1046283393	WP_065630989	206	39.02	64	91.3	2e-18	1857893	hypothetical protein [Gordonia sp. UCD-TK1]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia sp. UCD-TK1
0	gi|359802274|ref|YP_004935740.1|	256	565879317	WP_023960612	230	33.91	78	88.2	3e-17	1313067	hypothetical protein [Williamsia sp. D3]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Williamsiaceae	Williamsia	Williamsia sp. D3
0	gi|359802274|ref|YP_004935740.1|	256	516944306	WP_018177449	151	33.81	47	77.8	3e-14	1121721	hypothetical protein [Gordonia kroppenstedtii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia kroppenstedtii
0	gi|359802275|ref|YP_004935741.1|	83	764482451	WP_044385863	74	56	42	91.7	8e-22	68192	hypothetical protein [Streptomyces cyaneogriseus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cyaneogriseus
0	gi|359802275|ref|YP_004935741.1|	83	664224454	WP_030757246	81	54.88	45	90.5	2e-21	1463858	hypothetical protein [Streptomyces sp. NRRL F-5135]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL F-5135
0	gi|359802275|ref|YP_004935741.1|	83	1154986806	WP_078892127	77	53.85	42	85.5	2e-19	47716	hypothetical protein [Streptomyces olivaceus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces olivaceus
0	gi|359802275|ref|YP_004935741.1|	83	1155096311	WP_078978528	87	48.81	41	82	6e-18	159449	hypothetical protein [Streptomyces scabrisporus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabrisporus
0	gi|359802275|ref|YP_004935741.1|	83	1159080284	WP_079171936	91	59.7	40	81.6	8e-18	943816	hypothetical protein [Streptomyces qinglanensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces qinglanensis
