qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422936814|ref|YP_007007080.1|	275	503086439	WP_013321298	334	40.4	101	171	8e-47	497965	hypothetical protein [Cyanothece sp. PCC 7822]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7822
0	gi|422936814|ref|YP_007007080.1|	275	779879110	WP_045360312	338	38.68	94	170	1e-46	1126	hypothetical protein [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936814|ref|YP_007007080.1|	275	488869743	WP_002781982	338	38.27	93	166	6e-45	1126	Ig-like domain repeat protein [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936814|ref|YP_007007080.1|	275	1328135997	WP_102244089	312	38.06	94	162	7e-44	960	hypothetical protein [Bacteriovorax stolpii]	Bacteria	Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax stolpii
0	gi|422936814|ref|YP_007007080.1|	275	488828647	WP_002741053	338	37.45	91	162	1e-43	1126	hypothetical protein [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936814|ref|YP_007007080.1|	275	495478199	WP_008202886	338	37.45	91	159	3e-42	1160279	hypothetical protein [Microcystis sp. T1-4]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis sp. T1-4
0	gi|422936814|ref|YP_007007080.1|	275	496319402	WP_009028580	527	36.84	91	160	2e-41	566679	peptidoglycan-binding protein [Bradyrhizobium sp. ORS 375]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 375
0	gi|422936814|ref|YP_007007080.1|	275	496249265	WP_008962650	532	36.03	89	156	6e-40	551936	N-acetylmuramoyl-L-alanine amidase [Bradyrhizobium sp. STM 3809]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. STM 3809
0	gi|422936814|ref|YP_007007080.1|	275	496399722	WP_009108712	278	35.42	85	149	3e-39	596152	hypothetical protein [Desulfovibrio sp. U5L]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. U5L
0	gi|422936814|ref|YP_007007080.1|	275	1173607401	WP_081318946	358	40.62	91	149	1e-38	1117645	SH3 domain-containing protein [Elizabethkingia anophelis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
0	gi|422936814|ref|YP_007007080.1|	275	1272622301	WP_099379073	416	38.46	105	149	7e-38	2048010	hypothetical protein [Duganella sp. BJB426]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. BJB426
0	gi|422936814|ref|YP_007007080.1|	275	919200435	WP_052755936	416	37.13	101	141	3e-35	1649647	hypothetical protein [Janthinobacterium sp. KBS0711]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. KBS0711
0	gi|422936814|ref|YP_007007080.1|	275	953815557	WP_058049580	416	37.13	101	141	3e-35	1755239	hypothetical protein [Janthinobacterium sp. Ant5-2-1]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. Ant5-2-1
0	gi|422936814|ref|YP_007007080.1|	275	917352262	WP_051958974	269	35.47	94	134	8e-34	1502762	hypothetical protein [Janthinobacterium sp. RA13]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. RA13
0	gi|422936814|ref|YP_007007080.1|	275	916997475	WP_051604187	297	31.58	96	132	2e-32	173365	hypothetical protein [Methylobacter tundripaludum]	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter tundripaludum
0	gi|422936814|ref|YP_007007080.1|	275	1181507226	WP_084799783	779	34.5	89	132	9e-31	196490	peptidoglycan-binding protein [Bradyrhizobium sp. Ai1a-2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Ai1a-2
0	gi|422936814|ref|YP_007007080.1|	275	918447140	WP_052498316	293	31.35	79	121	1e-28	337	hypothetical protein [Burkholderia glumae]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
0	gi|422936814|ref|YP_007007080.1|	275	941482228	WP_055138617	293	31.35	79	121	1e-28	41899	hypothetical protein [Burkholderia plantarii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia plantarii
