qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|215479977|ref|YP_002332426.1|	240	506527774	WP_015994806	240	100	240	489	4e-173	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	498491101	WP_010791926	240	99.58	239	487	1e-172	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	730308293	WP_033979719	240	99.17	238	486	7e-172	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	1166924282	WP_079985730	240	99.58	239	485	9e-172	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	685918248	WP_031654998	240	97.92	235	481	3e-170	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	1160081133	WP_079390347	240	98.33	236	481	3e-170	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	1160080545	WP_079389759	242	95.45	231	469	2e-165	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	959903855	WP_058169476	225	58.41	132	265	4e-85	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	730477366	WP_034024194	225	57.78	130	264	9e-85	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|215479977|ref|YP_002332426.1|	240	489190026	WP_003099400	225	57.78	130	263	2e-84	287	XRE family transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
