qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|77999989|ref|YP_358759.1|	155	506507625	WP_015975042	155	97.42	151	313	9e-107	1578	MULTISPECIES: phage terminase small subunit P27 family [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|77999989|ref|YP_358759.1|	155	1035714144	WP_064554661	155	96.77	150	311	5e-106	47715	phage terminase small subunit P27 family [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|77999989|ref|YP_358759.1|	155	511644439	WP_016363342	155	96.77	150	311	7e-106	1597	phage terminase small subunit P27 family [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|77999989|ref|YP_358759.1|	155	1033155110	WP_064460494	155	94.84	147	310	2e-105	47715	phage terminase small subunit P27 family [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|77999989|ref|YP_358759.1|	155	695868086	WP_032780906	155	96.13	149	308	7e-105	1597	phage terminase small subunit P27 family [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|77999989|ref|YP_358759.1|	155	1092593368	WP_070543799	155	94.19	146	308	1e-104	1578	MULTISPECIES: phage terminase small subunit P27 family [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|77999989|ref|YP_358759.1|	155	640583893	WP_025013901	155	94.19	146	308	2e-104	1578	MULTISPECIES: phage terminase small subunit P27 family [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|77999989|ref|YP_358759.1|	155	654320548	WP_027829594	155	92.9	144	300	1e-101	304207	phage terminase small subunit P27 family [Lactobacillus harbinensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus harbinensis
0	gi|77999989|ref|YP_358759.1|	155	938935736	WP_054717104	155	82.58	128	277	2e-92	88233	phage terminase small subunit P27 family [Lactobacillus manihotivorans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus manihotivorans
0	gi|77999989|ref|YP_358759.1|	155	938942480	WP_054722667	155	84.52	131	267	2e-88	944671	phage terminase small subunit P27 family [Lactobacillus nasuensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus nasuensis
0	gi|77999989|ref|YP_358759.1|	155	1035817342	WP_064613048	155	70.97	110	240	7e-78	47715	phage terminase small subunit P27 family [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|77999989|ref|YP_358759.1|	155	1105008833	WP_071798310	155	70.97	110	240	7e-78	1582	phage terminase small subunit P27 family [Lactobacillus casei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
