qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|543171448|ref|YP_008531726.1|	123	506585241	WP_016051441	123	95.93	118	209	8e-67	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	695306870	WP_032509045	123	95.12	117	207	4e-66	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	506584858	WP_016051058	123	93.5	115	202	9e-64	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	1008818628	WP_061870189	74	97.3	72	144	9e-42	216816	hypothetical protein, partial [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|543171448|ref|YP_008531726.1|	123	1121653524	WP_073868148	82	93.9	77	127	7e-35	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	1121653522	WP_073868146	82	93.9	77	127	7e-35	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	1121653514	WP_073868138	82	92.68	76	124	1e-33	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	1121653527	WP_073868151	82	90.24	74	117	4e-31	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	1121653536	WP_073868158	90	83.75	67	110	1e-28	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	1121653533	WP_073868155	83	78.05	64	103	8e-26	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171448|ref|YP_008531726.1|	123	552881140	WP_023031742	110	39.81	43	88.6	1e-19	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
