qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|399528375|ref|YP_006560297.1|	362	1159300410	WP_079232072	343	33.63	114	173	1e-46	1352	DNA encapsidation protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|399528375|ref|YP_006560297.1|	362	1169083745	WP_080440323	343	33.63	114	172	3e-46	1352	DNA encapsidation protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|399528375|ref|YP_006560297.1|	362	1267462280	WP_098281645	336	30.82	86	129	2e-30	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|399528375|ref|YP_006560297.1|	362	1253038501	WP_096920855	336	29.63	88	124	8e-29	2041044	hypothetical protein [Eubacterium sp. YI]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. YI
0	gi|399528375|ref|YP_006560297.1|	362	1333423441	WP_102981926	366	28.2	97	114	5e-25	1428	DNA encapsidation protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|399528375|ref|YP_006560297.1|	362	1149909980	WP_077841612	365	27.01	94	111	4e-24	1520	hypothetical protein [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|399528375|ref|YP_006560297.1|	362	494818246	WP_007553654	364	28.67	82	103	3e-21	1094755	hypothetical protein [Bartonella sp. DB5-6]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella sp. DB5-6
0	gi|399528375|ref|YP_006560297.1|	362	490999451	WP_004861174	240	29.87	69	95.1	4e-19	33046	hypothetical protein [Bartonella taylorii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella taylorii
0	gi|399528375|ref|YP_006560297.1|	362	1124364163	WP_074654184	390	27.3	98	95.1	2e-18	1351	DNA encapsidation protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|399528375|ref|YP_006560297.1|	362	498468618	WP_010773860	390	27.3	98	94.4	4e-18	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|399528375|ref|YP_006560297.1|	362	498515572	WP_010815716	390	27.3	98	93.2	8e-18	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|399528375|ref|YP_006560297.1|	362	488316122	WP_002385507	390	27.3	98	92.4	2e-17	1350	MULTISPECIES: hypothetical protein [Enterococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0	gi|399528375|ref|YP_006560297.1|	362	498481370	WP_010784454	390	27.3	98	92.4	2e-17	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|399528375|ref|YP_006560297.1|	362	514909555	WP_016634090	390	27.3	98	92	2e-17	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|399528375|ref|YP_006560297.1|	362	1267165450	WP_098041017	397	30.64	72	85.1	8e-15	1352	DNA encapsidation protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|399528377|ref|YP_006560299.1|	243	951367009	WP_057743378	254	54.98	127	248	3e-78	1629	hypothetical protein [Weissella viridescens]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella viridescens
0	gi|399528377|ref|YP_006560299.1|	243	1117451249	WP_072153111	254	54.98	127	248	3e-78	1629	nicotinamide mononucleotide transporter [Weissella viridescens]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella viridescens
0	gi|399528377|ref|YP_006560299.1|	243	951414669	WP_057788128	253	53.02	123	247	8e-78	1620	hypothetical protein [Weissella minor]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella minor
0	gi|399528377|ref|YP_006560299.1|	243	980953515	WP_059375465	254	53.28	122	241	2e-75	220714	hypothetical protein [Fructobacillus pseudoficulneus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus pseudoficulneus
0	gi|399528377|ref|YP_006560299.1|	243	849028212	WP_047975140	254	53.28	122	239	9e-75	1658766	hypothetical protein [Fructobacillus sp. EFB-N1]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus sp. EFB-N1
0	gi|399528377|ref|YP_006560299.1|	243	980974383	WP_059393430	254	52.84	121	239	1e-74	709323	hypothetical protein [Fructobacillus tropaeoli]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus tropaeoli
0	gi|399528377|ref|YP_006560299.1|	243	1011037647	WP_061993770	252	51.53	118	232	5e-72	157463	hypothetical protein [Fructobacillus ficulneus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus ficulneus
0	gi|399528377|ref|YP_006560299.1|	243	498376495	WP_010690651	254	51.09	117	229	1e-70	1631	nicotinamide mononucleotide transporter [Fructobacillus fructosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus fructosus
0	gi|399528377|ref|YP_006560299.1|	243	949562156	WP_056994996	254	50.66	116	227	6e-70	1631	hypothetical protein [Fructobacillus fructosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus fructosus
0	gi|399528377|ref|YP_006560299.1|	243	1223463857	WP_091501447	254	50.66	116	226	2e-69	283737	nicotinamide mononucleotide transporter [Fructobacillus durionis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus	Fructobacillus durionis
0	gi|399528377|ref|YP_006560299.1|	243	1276399565	WP_099974488	230	40.35	92	174	2e-49	1993866	nicotinamide mononucleotide transporter [Lactobacillales bacterium]	Bacteria	Firmicutes	Bacilli	Lactobacillales			Lactobacillales bacterium
0	gi|399528377|ref|YP_006560299.1|	243	1122244647	WP_073981706	256	41.03	96	172	2e-48	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|399528377|ref|YP_006560299.1|	243	959683797	WP_058120698	248	41.99	97	161	2e-44	1254	nicotinamide mononucleotide transporter [Pediococcus acidilactici]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici
0	gi|399528377|ref|YP_006560299.1|	243	1199007300	WP_087115929	248	41.38	96	161	2e-44	1254	nicotinamide mononucleotide transporter [Pediococcus acidilactici]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici
0	gi|399528377|ref|YP_006560299.1|	243	496117802	WP_008842309	248	41.38	96	160	3e-44	1254	nicotinamide mononucleotide transporter [Pediococcus acidilactici]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici
