qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109392454|ref|YP_655583.1|	282	517165339	WP_018354157	269	83.71	185	407	1e-139	46351	DUF4417 domain-containing protein [Mycobacterium hassiacum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium hassiacum
0	gi|109392454|ref|YP_655583.1|	282	950083300	WP_057168825	226	74.44	166	361	3e-122	1736504	DUF4417 domain-containing protein [Mycobacterium sp. Root265]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. Root265
0	gi|109392454|ref|YP_655583.1|	282	1231931179	WP_094477123	230	59.01	131	303	3e-99	1786	DUF4417 domain-containing protein [Mycobacterium sphagni]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sphagni
0	gi|109392454|ref|YP_655583.1|	282	739314806	WP_037177302	237	56.33	129	281	6e-91	1828	DUF4417 domain-containing protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|109392454|ref|YP_655583.1|	282	1234010666	WP_094651723	238	58.14	125	269	7e-86	1828	DUF4417 domain-containing protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|109392454|ref|YP_655583.1|	282	917448496	WP_052054914	231	56.28	121	265	1e-84	1828	DUF4417 domain-containing protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|109392454|ref|YP_655583.1|	282	1181016373	WP_084429418	250	50.67	113	226	3e-69	2030	DUF4417 domain-containing protein [Kibdelosporangium aridum]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium aridum
0	gi|109392454|ref|YP_655583.1|	282	1226662955	WP_093946678	275	47.93	104	204	2e-60	1905142	DUF4417 domain-containing protein [Amycolatopsis sp. H5]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. H5
0	gi|109392454|ref|YP_655583.1|	282	1317335008	WP_101436062	240	48.86	107	199	1e-58	369932	hypothetical protein [Amycolatopsis niigatensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis niigatensis
0	gi|109392454|ref|YP_655583.1|	282	1197923324	WP_086840631	238	46.54	101	197	6e-58	218823	DUF4417 domain-containing protein [Amycolatopsis kentuckyensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis kentuckyensis
0	gi|109392454|ref|YP_655583.1|	282	1223561601	WP_091597976	241	47.89	102	195	3e-57	31959	DUF4417 domain-containing protein [Amycolatopsis lurida]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis lurida
0	gi|109392454|ref|YP_655583.1|	282	1180130624	WP_083650008	239	48.36	103	195	3e-57	1703945	DUF4417 domain-containing protein [Amycolatopsis sp. CB00013]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. CB00013
0	gi|109392454|ref|YP_655583.1|	282	916411622	WP_051115366	203	49.27	101	189	3e-55	113565	DUF4417 domain-containing protein [Actinoplanes globisporus]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes globisporus
0	gi|109392454|ref|YP_655583.1|	282	1328068446	WP_102184308	213	38.76	81	166	3e-46	184870	hypothetical protein [Varibaculum cambriense]	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum cambriense
0	gi|109392454|ref|YP_655583.1|	282	502251238	WP_012742139	210	42.77	74	162	8e-45	39491	DUF4417 domain-containing protein [[Eubacterium] rectale]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		[Eubacterium] rectale
0	gi|109392454|ref|YP_655583.1|	282	942035978	WP_055272507	210	42.77	74	162	1e-44	39491	DUF4417 domain-containing protein [[Eubacterium] rectale]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		[Eubacterium] rectale
0	gi|109392454|ref|YP_655583.1|	282	504548994	WP_014736096	223	39.9	81	160	5e-44	1307	DUF4417 domain-containing protein [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|109392454|ref|YP_655583.1|	282	1123856121	WP_074392411	223	39.9	81	159	1e-43	1307	DUF4417 domain-containing protein [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|109392454|ref|YP_655583.1|	282	517179547	WP_018368365	365	42.86	72	162	2e-43	155680	DUF4417 domain-containing protein [Streptococcus entericus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus entericus
0	gi|109392454|ref|YP_655583.1|	282	493912133	WP_006857539	210	41.38	72	158	2e-43	166486	DUF4417 domain-containing protein [Roseburia intestinalis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis
0	gi|109392454|ref|YP_655583.1|	282	920725330	WP_053057864	247	40.72	90	159	4e-43	909625	DUF4417 domain-containing protein [Rubrobacter aplysinae]	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter aplysinae
0	gi|109392454|ref|YP_655583.1|	282	1123884165	WP_074412315	223	39.41	80	158	5e-43	1307	DUF4417 domain-containing protein [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|109392454|ref|YP_655583.1|	282	1142818494	WP_077063981	225	40.76	75	158	5e-43	1579424	DUF4417 domain-containing protein [Streptococcus azizii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus azizii
0	gi|109392454|ref|YP_655583.1|	282	516377643	WP_017767676	222	42.86	72	157	6e-43	1311	DUF4417 domain-containing protein [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|109392454|ref|YP_655583.1|	282	489107841	WP_003017700	355	41.81	74	160	9e-43	1318	DUF4417 domain-containing protein [Streptococcus parasanguinis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
0	gi|109392454|ref|YP_655583.1|	282	827447355	WP_047208878	367	42.26	71	160	1e-42	1311	DUF4417 domain-containing protein [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
