qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|83571715|ref|YP_424967.1|	61	506514334	WP_015981604	59	87.27	48	100	1e-25	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|83571717|ref|YP_424969.1|	74	506514335	WP_015981605	74	98.65	73	146	3e-43	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|83571720|ref|YP_424972.1|	108	1122786414	WP_074146403	169	84.11	90	181	3e-55	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|83571720|ref|YP_424972.1|	108	890832373	WP_048901937	119	59.74	46	91.3	8e-21	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|83571722|ref|YP_424974.1|	75	890832372	WP_048901936	75	98.67	74	156	3e-47	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|83571723|ref|YP_424975.1|	294	890832371	WP_048901935	307	86.97	267	528	0	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|83571724|ref|YP_424976.1|	875	890832370	WP_048901934	875	98.17	859	1799	0	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|83571724|ref|YP_424976.1|	875	516836734	WP_018123401	854	32.81	291	439	3e-136	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|83571724|ref|YP_424976.1|	875	835593684	WP_047575736	847	33.45	299	437	2e-135	1339244	hypothetical protein [Methylobacterium sp. ZNC0032]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. ZNC0032
0	gi|83571724|ref|YP_424976.1|	875	1200005700	WP_087473435	817	32.92	293	436	3e-135	96242	hypothetical protein [Nitrospira cf. moscoviensis SBR1015]	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira cf. moscoviensis SBR1015
0	gi|83571724|ref|YP_424976.1|	875	499274058	WP_010971451	863	32.13	285	434	5e-134	176299;1183400	MULTISPECIES: DNA-directed RNA polymerase [Agrobacterium tumefaciens complex]	NA	NA	NA	NA	NA	NA	NA
0	gi|83571724|ref|YP_424976.1|	875	1119270863	WP_072249625	848	32.85	292	430	9e-133	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|83571724|ref|YP_424976.1|	875	1173203734	WP_081093493	833	32.7	291	429	1e-132	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|83571724|ref|YP_424976.1|	875	919473079	WP_052832939	814	32.09	284	423	2e-130	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|83571724|ref|YP_424976.1|	875	501122992	WP_012172130	841	33.3	296	424	2e-130	7	DNA-directed RNA polymerase [Azorhizobium caulinodans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans
0	gi|83571724|ref|YP_424976.1|	875	917302539	WP_051909251	864	31.34	278	421	3e-129	399	hypothetical protein [Neorhizobium galegae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
0	gi|83571724|ref|YP_424976.1|	875	1046588228	WP_065661133	858	30.94	272	413	3e-126	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|83571724|ref|YP_424976.1|	875	563544253	WP_023750232	822	31.75	281	408	9e-125	1287268	hypothetical protein [Mesorhizobium sp. LNJC384A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC384A00
0	gi|83571724|ref|YP_424976.1|	875	727229488	WP_033690360	852	32.06	286	408	3e-124	286	MULTISPECIES: DNA polymerase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|83571724|ref|YP_424976.1|	875	914414842	WP_050589256	829	31.56	278	405	1e-123	1287281	hypothetical protein [Mesorhizobium sp. LNJC405B00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC405B00
0	gi|83571724|ref|YP_424976.1|	875	1035782140	WP_064590845	852	32.4	289	405	2e-123	303	DNA-dependent RNA polymerase [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|83571724|ref|YP_424976.1|	875	1159279330	WP_079211872	825	32.01	282	404	3e-123	571256	hypothetical protein [Ochrobactrum pituitosum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum pituitosum
0	gi|83571724|ref|YP_424976.1|	875	914203413	WP_050519959	822	31.63	278	404	4e-123	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|83571724|ref|YP_424976.1|	875	499255699	WP_010953239	852	32.29	288	404	5e-123	303;160488	DNA-dependent RNA polymerase [Pseudomonas putida]	NA	NA	NA	NA	NA	NA	NA
0	gi|83571724|ref|YP_424976.1|	875	655283301	WP_028692664	852	32.06	286	404	6e-123	78327	DNA polymerase [Pseudomonas mosselii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mosselii
0	gi|83571724|ref|YP_424976.1|	875	917370941	WP_051977653	835	32.14	287	404	6e-123	1500301	hypothetical protein [Rhizobium sp. CF097]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. CF097
0	gi|83571724|ref|YP_424976.1|	875	746586166	WP_039614304	852	32.29	288	404	8e-123	1586081	DNA polymerase [Pseudomonas sp. C5pp]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. C5pp
0	gi|83571724|ref|YP_424976.1|	875	517698094	WP_018868302	848	32.62	288	401	1e-121	106633	MULTISPECIES: hypothetical protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|83571724|ref|YP_424976.1|	875	951473847	WP_057845405	807	30.88	273	399	3e-121	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|83571724|ref|YP_424976.1|	875	983338245	WP_060519026	804	32.5	274	390	5e-118	1661049	DNA polymerase, partial [Pseudomonas sp. NBRC 111134]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NBRC 111134
0	gi|83571724|ref|YP_424976.1|	875	1189728177	WP_085777945	858	30.75	274	385	8e-116	1981173	hypothetical protein [Rhizobium sp. NXC14]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. NXC14
0	gi|83571724|ref|YP_424976.1|	875	1293238461	WP_100632572	841	32.05	283	382	7e-115	2056231	hypothetical protein [Pseudomonas sp. JJ3]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. JJ3
0	gi|83571724|ref|YP_424976.1|	875	496661477	WP_009303970	898	31.08	267	384	1e-114	665942	DNA-dependent RNA polymerase [Desulfovibrio sp. 6_1_46AFAA]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. 6_1_46AFAA
0	gi|83571724|ref|YP_424976.1|	875	447015099	WP_001092355	883	32.16	293	382	2e-114	543	MULTISPECIES: DNA-dependent RNA polymerase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|83571724|ref|YP_424976.1|	875	1055983620	WP_067516854	840	30.14	267	381	3e-114	1698521	hypothetical protein [Endozoicomonas ascidiicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas ascidiicola
0	gi|83571724|ref|YP_424976.1|	875	1055624454	WP_067265129	804	31.12	276	379	4e-114	1848038	hypothetical protein [Methylovorus sp. MM1]	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylovorus	Methylovorus sp. MM1
0	gi|83571724|ref|YP_424976.1|	875	1183828012	WP_085025222	839	31.57	280	380	6e-114	1708715	hypothetical protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|83571724|ref|YP_424976.1|	875	655478589	WP_028860573	819	31.33	277	379	8e-114	305	DNA-directed RNA polymerase [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|83571724|ref|YP_424976.1|	875	1293381568	WP_100663144	875	30.68	278	380	8e-114	54291	DNA-dependent RNA polymerase [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|83571724|ref|YP_424976.1|	875	492895984	WP_006026390	818	30.41	267	379	1e-113	32008	MULTISPECIES: DNA-directed RNA polymerase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|83571724|ref|YP_424976.1|	875	1173339049	WP_081195781	883	32.05	292	380	1e-113	562	DNA-dependent RNA polymerase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|83571724|ref|YP_424976.1|	875	1172265321	WP_080654660	842	30.15	268	379	1e-113	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|83571724|ref|YP_424976.1|	875	1154212266	WP_078584946	806	31.72	281	377	2e-113	53413	T3/T7 RNA polymerase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
0	gi|83571724|ref|YP_424976.1|	875	704402543	WP_033463140	821	30.81	273	378	3e-113	518	DNA-directed RNA polymerase [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|83571724|ref|YP_424976.1|	875	1123902948	WP_074424935	873	30.77	280	379	4e-113	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|83571724|ref|YP_424976.1|	875	1154142384	WP_078517587	806	31.72	281	377	5e-113	338	MULTISPECIES: T3/T7 RNA polymerase [Xanthomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
0	gi|83571724|ref|YP_424976.1|	875	1154188615	WP_078562401	806	31.83	282	377	5e-113	53413	T3/T7 RNA polymerase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
