qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431809410|ref|YP_007236305.1|	185	829934135	WP_047366642	176	42.41	67	116	1e-28	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|431809423|ref|YP_007236318.1|	238	829934207	WP_047366656	236	28.99	60	77	2e-13	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|431809425|ref|YP_007236320.1|	414	920134224	WP_052954289	412	40.15	165	311	3e-98	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|431809425|ref|YP_007236320.1|	414	1170089180	WP_080520793	401	35.44	140	238	6e-70	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|431809425|ref|YP_007236320.1|	414	515095742	WP_016724955	431	29.88	127	189	5e-51	305	heavy metal transporter [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|431809425|ref|YP_007236320.1|	414	1235702781	WP_094848687	422	31.13	132	186	3e-50	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|431809425|ref|YP_007236320.1|	414	1177213376	WP_082637622	314	35.81	111	182	9e-50	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|431809425|ref|YP_007236320.1|	414	704402577	WP_033463155	422	30.9	131	184	2e-49	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|431809425|ref|YP_007236320.1|	414	981366085	WP_059580599	404	30.71	125	180	5e-48	111527	MULTISPECIES: DNA helicase [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|431809425|ref|YP_007236320.1|	414	981863518	WP_060050870	431	29.29	123	180	7e-48	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|431809425|ref|YP_007236320.1|	414	1175527323	WP_082069964	314	35.81	111	176	2e-47	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|431809425|ref|YP_007236320.1|	414	492895978	WP_006026384	404	30.47	124	176	8e-47	32008	MULTISPECIES: DNA helicase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|431809425|ref|YP_007236320.1|	414	981773280	WP_059965243	431	29.05	122	176	2e-46	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	982448684	WP_060375372	431	30	126	175	4e-46	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	755832412	WP_042589651	431	29.18	124	174	7e-46	305	helicase DnaB [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|431809425|ref|YP_007236320.1|	414	982164632	WP_060328832	431	29.52	124	174	2e-45	1503055	helicase DnaB [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|431809425|ref|YP_007236320.1|	414	499644652	WP_011325386	431	29.52	124	174	2e-45	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	981545662	WP_059748687	431	28.57	120	173	2e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	981732960	WP_059926802	431	29.76	125	173	3e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	759580906	WP_043299796	431	29.76	125	173	3e-45	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	981745869	WP_059939212	431	29.52	124	172	4e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	981789982	WP_059981106	431	29.76	125	172	4e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	981615896	WP_059815794	431	29.52	124	172	5e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	910237429	WP_050042552	431	29.76	125	172	6e-45	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	754360443	WP_041861643	431	30	126	172	6e-45	111527	MULTISPECIES: helicase DnaB [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|431809425|ref|YP_007236320.1|	414	981886265	WP_060072203	431	29.76	125	172	8e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809425|ref|YP_007236320.1|	414	740953356	WP_038737994	431	29.52	124	172	9e-45	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	1025893487	WP_063597552	431	29.52	124	171	1e-44	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	740966965	WP_038751446	431	29.52	124	171	1e-44	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	1142810670	WP_077056194	431	29.29	123	171	1e-44	95486	helicase DnaB [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|431809425|ref|YP_007236320.1|	414	981699319	WP_059895111	412	31.42	115	171	1e-44	60552	helicase DnaB [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|431809425|ref|YP_007236320.1|	414	981246763	WP_059466473	431	29.29	123	171	2e-44	488732	helicase DnaB [Burkholderia diffusa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
0	gi|431809425|ref|YP_007236320.1|	414	981486932	WP_059693954	431	29.29	123	170	3e-44	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|431809425|ref|YP_007236320.1|	414	942523356	WP_055347195	431	29.52	124	170	4e-44	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	740962301	WP_038746862	431	29.52	124	170	4e-44	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	516455485	WP_017844326	431	29.52	124	170	4e-44	28450	heavy metal transporter [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	497627207	WP_009941391	431	29.52	124	170	5e-44	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	981254110	WP_059473567	405	31.22	128	169	7e-44	1385590	DNA helicase [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|431809425|ref|YP_007236320.1|	414	1141166639	WP_076928899	431	29.05	122	169	9e-44	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431809425|ref|YP_007236320.1|	414	1061946136	WP_069252217	431	29.05	122	169	1e-43	482957	helicase DnaB [Burkholderia lata]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia lata
0	gi|431809425|ref|YP_007236320.1|	414	740994099	WP_038777187	431	29.29	123	168	2e-43	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
