qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|593779788|ref|YP_009017615.1|	542	1175164511	WP_081712432	405	34.93	117	174	7e-45	89053	hypothetical protein [Gordonia amicalis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia amicalis
0	gi|593779788|ref|YP_009017615.1|	542	1020132761	WP_063256607	527	30.91	157	176	7e-45	1776083	hypothetical protein [Microbacterium sp. T32]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. T32
0	gi|593779788|ref|YP_009017615.1|	542	1180485414	WP_083990497	515	31.42	148	163	2e-40	33883	hypothetical protein [Microbacterium arborescens]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium arborescens
0	gi|593779789|ref|YP_009017616.1|	581	769933052	WP_045067098	596	33.03	179	185	3e-47	103808	hypothetical protein [Rhodococcus sp. AD45]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. AD45
0	gi|593779789|ref|YP_009017616.1|	581	1179992027	WP_083514381	1273	36.24	104	152	3e-35	989370	DUF5011 domain-containing protein [Bradyrhizobium manausense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium manausense
0	gi|593779789|ref|YP_009017616.1|	581	1316572191	WP_101305654	533	29.83	176	149	4e-35	162426	SGNH/GDSL hydrolase family protein [Microbacterium hominis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium hominis
0	gi|593779789|ref|YP_009017616.1|	581	771560985	WP_045194778	687	37.89	108	144	5e-33	1564114	hypothetical protein [Rhodococcus sp. B7740]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. B7740
0	gi|593779789|ref|YP_009017616.1|	581	1120463569	WP_073325398	642	27.38	135	136	1e-30	634436	hypothetical protein [Aestuariibacter aggregatus]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter	Aestuariibacter aggregatus
0	gi|593779789|ref|YP_009017616.1|	581	860348239	WP_048391748	615	28.38	145	130	1e-28	1608996	hypothetical protein [Pseudomonas helleri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas helleri
0	gi|593779789|ref|YP_009017616.1|	581	1248228122	WP_096725968	308	33.88	104	125	2e-28	1912599	hypothetical protein [Pseudomonas acidophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas acidophila
