qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109521445|ref|YP_655873.1|	401	1143110266	WP_077100555	480	33.26	153	219	4e-62	1841859	CCA tRNA nucleotidyltransferase [Mycobacterium sp. AB308]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. AB308
0	gi|109521445|ref|YP_655873.1|	401	1056861011	WP_068278459	480	33.7	155	219	4e-62	1834150	CCA tRNA nucleotidyltransferase [Mycobacterium sp. E787]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E787
0	gi|109521445|ref|YP_655873.1|	401	1184534664	WP_085104588	480	34.13	157	219	5e-62	767916	CCA tRNA nucleotidyltransferase [Mycobacterium paraense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium paraense
0	gi|109521445|ref|YP_655873.1|	401	1184627356	WP_085188787	480	33.48	154	218	1e-61	1743230	CCA tRNA nucleotidyltransferase [Mycobacterium sp. IEC1808]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. IEC1808
0	gi|109521445|ref|YP_655873.1|	401	489971130	WP_003874351	480	33.33	155	218	1e-61	1764	CCA tRNA nucleotidyltransferase [Mycobacterium avium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
0	gi|109521445|ref|YP_655873.1|	401	1056755710	WP_068178829	480	33.48	154	218	1e-61	1370119	CCA tRNA nucleotidyltransferase [Mycobacterium sp. UM_CSW]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. UM_CSW
0	gi|109521445|ref|YP_655873.1|	401	1184506570	WP_085077412	478	33.12	152	217	2e-61	153971	CCA tRNA nucleotidyltransferase [Mycobacterium palustre]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium palustre
0	gi|109521445|ref|YP_655873.1|	401	740645137	WP_038430585	480	33.91	156	217	2e-61	1764	CCA tRNA nucleotidyltransferase [Mycobacterium avium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
0	gi|109521445|ref|YP_655873.1|	401	1055670492	WP_067303954	419	37.15	133	215	3e-61	1783	CCA tRNA nucleotidyltransferase, partial [Mycobacterium scrofulaceum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium scrofulaceum
0	gi|109521445|ref|YP_655873.1|	401	1056708995	WP_068133902	480	33.26	153	217	3e-61	1834151	CCA tRNA nucleotidyltransferase [Mycobacterium sp. E796]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. E796
