qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|568192043|ref|YP_008771824.1|	224	490209503	WP_004107907	224	95.09	213	444	4e-156	2702	hypothetical protein [Gardnerella vaginalis]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
0	gi|568192043|ref|YP_008771824.1|	224	1267714822	WP_098472869	221	51.96	106	214	2e-65	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568192043|ref|YP_008771824.1|	224	1267620911	WP_098392480	221	51.47	105	213	4e-65	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568192043|ref|YP_008771824.1|	224	507053168	WP_016124135	222	50	102	204	6e-62	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568192043|ref|YP_008771824.1|	224	1267325721	WP_098169218	225	48.53	99	198	3e-59	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568192043|ref|YP_008771824.1|	224	1268100142	WP_098663795	225	48.04	98	194	1e-57	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568192043|ref|YP_008771824.1|	224	1267228948	WP_098087953	225	48.04	98	192	3e-57	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568192043|ref|YP_008771824.1|	224	488059285	WP_002130682	218	49.5	99	181	1e-52	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568192043|ref|YP_008771824.1|	224	1267260969	WP_098115351	225	45.97	97	177	3e-51	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|568192043|ref|YP_008771824.1|	224	1268171798	WP_098718552	225	48.7	94	176	8e-51	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568192043|ref|YP_008771824.1|	224	1268364936	WP_098832970	221	45.81	93	172	2e-49	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
