qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|388570317|ref|YP_006382257.1|	101	1151327780	WP_078097760	148	97.4	75	161	6e-48	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1152374825	WP_078244249	162	97.4	75	161	9e-48	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151099916	WP_078072259	198	97.4	75	162	9e-48	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1196114404	WP_086040186	191	97.4	75	162	9e-48	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151121900	WP_078091453	207	97.4	75	162	9e-48	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1196116145	WP_086040748	196	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151126755	WP_078092218	207	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151091851	WP_078069777	207	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151327197	WP_078097365	198	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151091295	WP_078069221	198	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151090687	WP_078068614	179	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151099216	WP_078071757	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151125949	WP_078091741	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151119263	WP_078091203	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1119583139	WP_072519237	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1184248455	WP_085065218	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151133034	WP_078092427	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151247818	WP_078092666	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1175371936	WP_081919728	210	97.4	75	162	1e-47	1654388	MBL fold metallo-hydrolase [Staphylococcus schweitzeri]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus schweitzeri
0	gi|388570317|ref|YP_006382257.1|	101	1151326922	WP_078097092	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|388570317|ref|YP_006382257.1|	101	1151011300	WP_078061233	210	97.4	75	162	1e-47	1279	MULTISPECIES: MBL fold metallo-hydrolase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|388570317|ref|YP_006382257.1|	101	1119504605	WP_072467283	210	97.4	75	162	1e-47	1279	MULTISPECIES: MBL fold metallo-hydrolase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|388570317|ref|YP_006382257.1|	101	1151248077	WP_078092726	210	97.4	75	162	1e-47	1279	MULTISPECIES: MBL fold metallo-hydrolase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|388570317|ref|YP_006382257.1|	101	1151656516	WP_078098125	210	97.4	75	162	1e-47	1280	MBL fold metallo-hydrolase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
