qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|53869481|ref|YP_115515.1|	427	496357524	WP_009066700	401	76.05	308	626	0	591157	site-specific integrase [Streptomyces sp. SPB78]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SPB78
0	gi|53869481|ref|YP_115515.1|	427	1225614847	WP_093617922	401	75.8	307	625	0	417292	site-specific integrase [Streptomyces indicus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces indicus
0	gi|53869481|ref|YP_115515.1|	427	1264303553	WP_097922053	425	70.49	301	618	0	1828212	site-specific integrase [Streptomyces sp. wa1063]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. wa1063
0	gi|53869481|ref|YP_115515.1|	427	1264316610	WP_097933322	418	60.19	257	506	4e-174	1883	MULTISPECIES: site-specific integrase [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|53869481|ref|YP_115515.1|	427	1268581548	WP_098892228	418	60.19	257	503	7e-173	1828020	site-specific integrase [Streptomyces sp. or3]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. or3
0	gi|53869481|ref|YP_115515.1|	427	1158956876	WP_079128599	431	57.69	255	492	3e-168	193462	site-specific integrase [Streptomyces niveus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces niveus
0	gi|53869481|ref|YP_115515.1|	427	1154183034	WP_078556982	431	57.92	256	490	2e-167	1460244	site-specific integrase [Streptomyces sp. PCS3-D2]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. PCS3-D2
0	gi|53869481|ref|YP_115515.1|	427	1264233661	WP_097866520	431	56.56	250	488	9e-167	2034272	site-specific integrase [Streptomyces sp. rh34]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. rh34
0	gi|53869481|ref|YP_115515.1|	427	1225654267	WP_093656929	396	58.52	237	459	9e-156	1196353	site-specific integrase [Streptomyces wuyuanensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces wuyuanensis
0	gi|53869481|ref|YP_115515.1|	427	919551021	WP_052862409	425	54.57	233	451	2e-152	355249	integrase [Streptomyces sp. Tu6071]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. Tu6071
0	gi|53869481|ref|YP_115515.1|	427	1154975871	WP_078881192	415	51.64	221	451	2e-152	1463874	site-specific integrase [Streptomyces sp. NRRL F-6131]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL F-6131
0	gi|53869481|ref|YP_115515.1|	427	664195343	WP_030729052	396	57.28	232	444	4e-150	1883	MULTISPECIES: integrase [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|53869481|ref|YP_115515.1|	427	944466130	WP_055696549	431	52.66	228	433	3e-145	545123	hypothetical protein [Streptomyces silaceus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces silaceus
0	gi|53869481|ref|YP_115515.1|	427	754807328	WP_042170372	409	53.55	219	420	2e-140	1547867	hypothetical protein [Streptomyces sp. NBRC 110035]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NBRC 110035
0	gi|53869481|ref|YP_115515.1|	427	1197752648	WP_086700929	411	51.67	217	402	2e-133	1960	site-specific integrase [Streptomyces vinaceus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces vinaceus
0	gi|53869481|ref|YP_115515.1|	427	518377426	WP_019547633	409	51.19	215	395	7e-131	1883	MULTISPECIES: hypothetical protein [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|53869481|ref|YP_115515.1|	427	985829350	WP_060886221	408	52.81	216	391	3e-129	1883	MULTISPECIES: hypothetical protein [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|53869481|ref|YP_115515.1|	427	917334026	WP_051940738	419	47.44	204	391	4e-129	348818	hypothetical protein [Streptacidiphilus oryzae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus	Streptacidiphilus oryzae
0	gi|53869481|ref|YP_115515.1|	427	739874697	WP_037725360	408	51.59	211	388	5e-128	1930	hypothetical protein [Streptomyces scabiei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei
0	gi|53869481|ref|YP_115515.1|	427	985820873	WP_060880874	408	51.83	212	388	7e-128	1930	hypothetical protein [Streptomyces scabiei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei
0	gi|53869481|ref|YP_115515.1|	427	1269661289	WP_099129598	409	52.02	206	387	2e-127	1100823	site-specific integrase [Streptomyces sp. ScaeMP-e48]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. ScaeMP-e48
0	gi|53869481|ref|YP_115515.1|	427	985833707	WP_060888700	408	51.34	210	385	8e-127	1930	hypothetical protein [Streptomyces scabiei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei
0	gi|53869481|ref|YP_115515.1|	427	1173365767	WP_081221539	408	49.26	201	377	2e-123	1955065	hypothetical protein [Streptomyces sp. M41(2017)]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. M41(2017)
0	gi|53869481|ref|YP_115515.1|	427	1225614548	WP_093617623	428	46	201	371	4e-121	417292	hypothetical protein [Streptomyces indicus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces indicus
0	gi|53869481|ref|YP_115515.1|	427	498039222	WP_010353378	413	48.69	205	370	1e-120	42234	integrase [Streptomyces acidiscabies]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces acidiscabies
0	gi|53869481|ref|YP_115515.1|	427	1121531988	WP_073762173	398	48.77	198	357	6e-116	1718985	hypothetical protein [Streptomyces sp. CB02923]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02923
0	gi|53869481|ref|YP_115515.1|	427	497950127	WP_010264283	413	46.32	195	357	1e-115	1883	MULTISPECIES: integrase [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
