qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|168495104|ref|YP_001686842.1|	295	506522175	WP_015989306	295	100	295	540	0	192	hypothetical protein [Azospirillum brasilense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense
0	gi|168495104|ref|YP_001686842.1|	295	1184514438	WP_085084774	290	54.47	140	212	6e-63	286727	EamA/RhaT family transporter [Azospirillum oryzae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum oryzae
0	gi|168495104|ref|YP_001686842.1|	295	1188436074	WP_085555752	291	52	143	202	3e-59	193	EamA/RhaT family transporter [Azospirillum lipoferum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum lipoferum
0	gi|168495104|ref|YP_001686842.1|	295	503954645	WP_014188639	298	48.06	136	196	2e-56	193	EamA/RhaT family transporter [Azospirillum lipoferum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum lipoferum
0	gi|168495104|ref|YP_001686842.1|	295	1184514760	WP_085085096	298	48.94	138	186	6e-53	286727	EamA/RhaT family transporter [Azospirillum oryzae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum oryzae
0	gi|168495104|ref|YP_001686842.1|	295	916533680	WP_051141122	303	45.09	124	172	2e-47	192	EamA/RhaT family transporter [Azospirillum brasilense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense
0	gi|168495104|ref|YP_001686842.1|	295	980980445	WP_059399002	293	45.09	124	172	2e-47	192	EamA/RhaT family transporter [Azospirillum brasilense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense
0	gi|168495104|ref|YP_001686842.1|	295	502739517	WP_012974501	296	32.69	85	122	8e-29	193	EamA/RhaT family transporter [Azospirillum lipoferum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum lipoferum
0	gi|168495104|ref|YP_001686842.1|	295	1175567235	WP_082108934	320	32.5	91	119	1e-27	528244	EamA/RhaT family transporter [Azospirillum thiophilum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum thiophilum
0	gi|168495104|ref|YP_001686842.1|	295	1180378379	WP_083897179	330	33.2	86	118	5e-27	137721	EamA/RhaT family transporter [Azospirillum sp. B506]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum sp. B506
