qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|560186078|ref|YP_008853842.1|	99	919473069	WP_052832935	180	45.07	32	71.2	6e-13	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|560186078|ref|YP_008853842.1|	99	951473831	WP_057845389	170	45.07	32	68.2	6e-12	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|560186078|ref|YP_008853842.1|	99	1186148981	WP_085352842	178	43.82	39	67.4	1e-11	255045	hypothetical protein [Bradyrhizobium canariense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium canariense
0	gi|560186078|ref|YP_008853842.1|	99	1223945867	WP_091977238	201	51.61	32	66.2	4e-11	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|560186078|ref|YP_008853842.1|	99	1223847739	WP_091880688	154	50	30	64.7	1e-10	1855321	hypothetical protein [Bradyrhizobium sp. Rc2d]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Rc2d
0	gi|560186087|ref|YP_008853851.1|	302	704402582	WP_033463157	268	43.64	120	208	2e-61	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|560186087|ref|YP_008853851.1|	302	1028883473	WP_064049215	285	42.96	122	207	4e-61	305	hypothetical protein [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|560186087|ref|YP_008853851.1|	302	981253927	WP_059473384	280	40.41	118	202	3e-59	1385590	hypothetical protein [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|560186087|ref|YP_008853851.1|	302	837940906	WP_047905360	274	45.04	127	199	4e-58	656179	hypothetical protein [Pandoraea faecigallinarum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea faecigallinarum
0	gi|560186087|ref|YP_008853851.1|	302	908710545	WP_049842175	288	42.4	120	198	2e-57	305	hypothetical protein [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|560186087|ref|YP_008853851.1|	302	1235702782	WP_094848688	270	39.64	109	192	3e-55	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|560186087|ref|YP_008853851.1|	302	1173687152	WP_081369073	183	49.74	95	168	2e-47	305	DNA primase [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|560186087|ref|YP_008853851.1|	302	755837721	WP_042592019	193	45.5	91	166	4e-46	305	DNA primase [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|560186087|ref|YP_008853851.1|	302	1168864565	WP_080416400	266	36.03	98	163	2e-44	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	981545658	WP_059748685	185	45.03	86	154	8e-42	101571	DNA primase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	1028157335	WP_063906231	198	43.28	87	153	2e-41	101571	DNA primase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	648217856	WP_025999005	183	46.67	84	152	3e-41	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	740962305	WP_038746866	183	46.67	84	152	3e-41	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	981745866	WP_059939209	198	43.07	87	153	4e-41	101571	DNA primase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	497627206	WP_009941390	183	46.67	84	152	4e-41	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	1173172402	WP_081064123	189	47.22	85	152	5e-41	60552	DNA primase [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|560186087|ref|YP_008853851.1|	302	740953354	WP_038737992	179	46.41	84	150	1e-40	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	1176426148	WP_082263344	179	46.41	84	150	1e-40	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	981486931	WP_059693953	183	44.69	80	150	2e-40	292	DNA primase [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|560186087|ref|YP_008853851.1|	302	1168837210	WP_080405797	268	34.43	94	153	2e-40	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	1141031620	WP_076867439	179	46.41	84	150	3e-40	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	740966970	WP_038751450	179	45.86	83	149	4e-40	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	1168869533	WP_080421292	202	42.44	87	150	5e-40	101571	DNA primase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	759580908	WP_043299798	183	44.69	80	149	6e-40	28450	DNA primase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186087|ref|YP_008853851.1|	302	497602439	WP_009916623	268	34.07	93	151	7e-40	32008	MULTISPECIES: DNA primase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|560186087|ref|YP_008853851.1|	302	1169066800	WP_080433738	268	34.07	93	151	9e-40	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|560186087|ref|YP_008853851.1|	302	981863519	WP_060050871	179	46.41	84	149	9e-40	292	DNA primase [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
