qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|593775446|ref|YP_009013308.1|	624	959847787	WP_058133395	689	99.52	621	1284	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	685938595	WP_031670544	689	99.52	621	1284	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	489190031	WP_003099405	689	99.68	622	1284	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	896250755	WP_049244699	689	99.52	621	1283	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	506527776	WP_015994808	690	99.84	623	1283	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	730317893	WP_033983196	632	99.68	622	1283	0	287	transposase, partial [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	730681078	WP_034069569	689	99.36	620	1282	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	685987952	WP_031694238	689	99.2	619	1282	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	506520468	WP_015987629	690	99.52	621	1281	0	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	1209277003	WP_088325105	632	99.36	620	1281	0	287	transposase, partial [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|593775446|ref|YP_009013308.1|	624	1209241372	WP_088294385	632	99.36	620	1281	0	287	transposase, partial [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
