qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589890396|ref|YP_009005927.1|	578	1216913092	WP_089177137	552	57.33	313	630	0	2015316	hypothetical protein [Bosea sp. AS-1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. AS-1
0	gi|589890396|ref|YP_009005927.1|	578	1276324411	WP_099953104	566	53.28	292	587	0	2051553	TerL protein [Methylobacterium sp. PR1016A]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. PR1016A
0	gi|589890396|ref|YP_009005927.1|	578	1119414386	WP_072389844	550	51.54	284	570	0	1892845	hypothetical protein [Hyphomicrobium sp. CS1GBMeth3]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp. CS1GBMeth3
0	gi|589890396|ref|YP_009005927.1|	578	930462961	WP_054210589	539	53.38	284	565	0	1526658	hypothetical protein [Bosea vaviloviae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea vaviloviae
0	gi|589890396|ref|YP_009005927.1|	578	1178027284	WP_082899375	527	52.18	275	548	0	1849168	hypothetical protein [Sulfitobacter sp. EhC04]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter sp. EhC04
0	gi|589890396|ref|YP_009005927.1|	578	1180982967	WP_084398293	556	51.45	283	546	0	545261	hypothetical protein [Henriciella aquimarina]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Henriciella	Henriciella aquimarina
0	gi|589890396|ref|YP_009005927.1|	578	1055053677	WP_066803521	569	51.99	287	534	2e-180	40681	hypothetical protein [Sphingomonas asaccharolytica]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas asaccharolytica
0	gi|589890396|ref|YP_009005927.1|	578	1063484881	WP_069383975	532	38.11	210	351	6e-110	2746	TerL protein [Halomonas elongata]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas elongata
0	gi|589890396|ref|YP_009005927.1|	578	1224492722	WP_092513773	539	39.25	219	350	3e-109	351675	TerL protein [Xenorhabdus mauleonii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus mauleonii
0	gi|589890396|ref|YP_009005927.1|	578	800929523	WP_045958025	539	39.07	218	348	2e-108	40577	bacteriophage TerL protein [Xenorhabdus poinarii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus poinarii
0	gi|589890396|ref|YP_009005927.1|	578	881067583	WP_048784622	538	38.06	212	348	2e-108	470934	bacteriophage TerL protein [Pantoea vagans]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea vagans
0	gi|589890396|ref|YP_009005927.1|	578	810402839	WP_046336983	539	38.13	212	347	3e-108	40576	bacteriophage TerL protein [Xenorhabdus bovienii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus bovienii
0	gi|589890396|ref|YP_009005927.1|	578	1196371786	WP_086057077	531	38.55	212	347	3e-108	1416803	TerL protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|589890396|ref|YP_009005927.1|	578	447053529	WP_001130785	539	37.41	208	347	4e-108	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|589890396|ref|YP_009005927.1|	578	915718609	WP_050877372	534	37.57	210	346	6e-108	633	TerL protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|589890396|ref|YP_009005927.1|	578	740377497	WP_038212570	539	38.31	213	346	6e-108	40576	bacteriophage TerL protein [Xenorhabdus bovienii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus bovienii
0	gi|589890396|ref|YP_009005927.1|	578	912926115	WP_050309380	534	37.75	211	346	8e-108	633	TerL protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|589890396|ref|YP_009005927.1|	578	920490742	WP_052992846	539	37.41	208	346	9e-108	624	hypothetical protein [Shigella sonnei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
0	gi|589890396|ref|YP_009005927.1|	578	1167647653	WP_080069458	539	38.1	213	346	1e-107	28901	TerL protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589890396|ref|YP_009005927.1|	578	740615924	WP_038401438	534	37.39	209	345	2e-107	633	bacteriophage TerL protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
