qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422935968|ref|YP_007005864.1|	158	1267433282	WP_098255619	142	52.85	65	133	4e-36	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|422935968|ref|YP_007005864.1|	158	1267629714	WP_098399346	142	52.03	64	133	4e-36	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|422935968|ref|YP_007005864.1|	158	1267238655	WP_098097048	141	52.03	64	129	2e-34	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|422935968|ref|YP_007005864.1|	158	1268314388	WP_098795498	128	48.8	61	128	2e-34	2033502	hypothetical protein [Bacillus sp. AFS040349]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS040349
0	gi|422935968|ref|YP_007005864.1|	158	446368062	WP_000445917	143	52.03	64	128	3e-34	1396	hypothetical protein, partial [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|422935968|ref|YP_007005864.1|	158	1020065544	WP_063213288	129	48.36	59	124	9e-33	114136	hypothetical protein [Paenibacillus jamilae]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus jamilae
0	gi|422935968|ref|YP_007005864.1|	158	518517478	WP_019687685	131	47.11	57	122	5e-32	1406	hypothetical protein [Paenibacillus polymyxa]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa
0	gi|422935968|ref|YP_007005864.1|	158	1243949828	WP_096043177	133	43.61	58	122	9e-32	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|422935968|ref|YP_007005864.1|	158	544674232	WP_021107087	130	47.66	61	120	4e-31	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|422935968|ref|YP_007005864.1|	158	657721355	WP_029518016	131	46.28	56	119	8e-31	1406	hypothetical protein [Paenibacillus polymyxa]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa
0	gi|422935968|ref|YP_007005864.1|	158	1057664587	WP_068940361	131	46.28	56	116	8e-30	1406	hypothetical protein [Paenibacillus polymyxa]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa
0	gi|422935968|ref|YP_007005864.1|	158	758871199	WP_043032814	131	43.75	56	114	6e-29	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|422935968|ref|YP_007005864.1|	158	696533137	WP_033066614	132	40.16	51	111	1e-27	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|422935968|ref|YP_007005864.1|	158	844806082	WP_047944074	129	41.8	51	107	4e-26	1397	hypothetical protein [Bacillus circulans]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus circulans
0	gi|422935968|ref|YP_007005864.1|	158	1119836472	WP_072728216	134	41.46	51	105	1e-25	1605994	hypothetical protein [Paenibacillus sp. NAIST15-1]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. NAIST15-1
0	gi|422935968|ref|YP_007005864.1|	158	918352214	WP_052406373	132	45.16	56	105	3e-25	1499683	hypothetical protein [Clostridium sp. CL-6]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CL-6
0	gi|422935968|ref|YP_007005864.1|	158	1025891924	WP_063596197	128	42.61	49	103	7e-25	1478	hypothetical protein [Bacillus simplex]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus simplex
0	gi|422935968|ref|YP_007005864.1|	158	655142636	WP_028589439	129	47.41	55	102	2e-24	363858	hypothetical protein [Paenibacillus panacisoli]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus panacisoli
0	gi|422935968|ref|YP_007005864.1|	158	923062377	WP_053446070	123	42.28	52	98.2	1e-22	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|422935968|ref|YP_007005864.1|	158	1001789020	WP_061326995	81	52.56	41	96.3	2e-22	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|422935968|ref|YP_007005864.1|	158	1271532381	WP_099313669	130	41.46	51	95.1	2e-21	29363	hypothetical protein [Clostridium paraputrificum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium paraputrificum
0	gi|422935968|ref|YP_007005864.1|	158	1238599877	WP_095297942	130	41.6	52	94.7	2e-21	2021690	hypothetical protein [Bacillus sp. 7586-K]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 7586-K
0	gi|422935968|ref|YP_007005864.1|	158	949521560	WP_056961235	139	37.4	49	94.4	3e-21	259059	hypothetical protein [Lactobacillus satsumensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus satsumensis
0	gi|422935968|ref|YP_007005864.1|	158	1079445868	WP_070173272	121	42.28	52	93.2	6e-21	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|422935968|ref|YP_007005864.1|	158	949510769	WP_056951563	125	41.13	51	93.2	7e-21	83526	hypothetical protein [Lactobacillus paralimentarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paralimentarius
0	gi|422935968|ref|YP_007005864.1|	158	1238642647	WP_095327015	139	38.94	44	93.2	1e-20	79880	hypothetical protein [Bacillus clausii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii
0	gi|422935968|ref|YP_007005864.1|	158	1221898694	WP_089985746	152	40.4	61	92.4	3e-20	400634	MULTISPECIES: hypothetical protein [Lysinibacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	
0	gi|422935968|ref|YP_007005864.1|	158	1267162606	WP_098039470	125	34.13	43	90.1	1e-19	2042029	hypothetical protein [Lactobacillus sp. UMNPBX18]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. UMNPBX18
