qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431810961|ref|YP_007238011.1|	157	1183750377	WP_084971768	157	99.36	156	323	2e-110	665913	phage tail protein [Pantoea calida]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea calida
0	gi|431810961|ref|YP_007238011.1|	157	1183750373	WP_084971764	157	75.16	118	259	4e-85	665913	phage tail protein [Pantoea calida]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea calida
0	gi|431810961|ref|YP_007238011.1|	157	1183750379	WP_084971770	157	71.97	113	250	7e-82	665913	phage tail protein [Pantoea calida]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea calida
0	gi|431810961|ref|YP_007238011.1|	157	1020131785	WP_063255710	157	60.26	94	206	1e-64	550	phage tail protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|431810961|ref|YP_007238011.1|	157	829936666	WP_047367118	157	58.97	92	206	2e-64	543	MULTISPECIES: phage tail protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|431810961|ref|YP_007238011.1|	157	766973338	WP_044865414	157	59.62	93	206	3e-64	550	phage tail protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|431810961|ref|YP_007238011.1|	157	1028098858	WP_063855338	157	60.26	94	205	4e-64	550	phage tail protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|431810961|ref|YP_007238011.1|	157	895884455	WP_048988306	157	58.33	91	205	5e-64	550	phage tail protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|431810961|ref|YP_007238011.1|	157	1258246430	WP_097569126	157	58.97	92	205	6e-64	28141	phage tail protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431810961|ref|YP_007238011.1|	157	695739420	WP_032665794	157	59.62	93	204	7e-64	354276	MULTISPECIES: phage tail protein [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|431810961|ref|YP_007238011.1|	157	1022678173	WP_063434067	157	59.62	93	204	8e-64	208224	phage tail protein [Enterobacter kobei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei
0	gi|431810961|ref|YP_007238011.1|	157	1140886182	WP_076738227	157	58.97	92	204	1e-63	28141	phage tail protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431810961|ref|YP_007238011.1|	157	1017025585	WP_063160886	157	58.97	92	204	1e-63	550	phage tail protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|431810961|ref|YP_007238011.1|	157	516011692	WP_017442275	157	59.62	93	204	1e-63	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|431810961|ref|YP_007238011.1|	157	1028185238	WP_063930728	157	57.69	90	204	1e-63	550	phage tail protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|431810961|ref|YP_007238011.1|	157	779874399	WP_045358158	157	59.62	93	204	1e-63	61645	phage tail protein [Enterobacter asburiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
