qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|658607765|ref|YP_009044763.1|	145	780111607	WP_045477181	77	60	42	95.1	3e-22	1129792	DUF3310 domain-containing protein [Weissella oryzae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella oryzae
0	gi|658607765|ref|YP_009044763.1|	145	653853038	WP_027699064	77	58.57	41	93.6	1e-21	1129792	DUF3310 domain-containing protein [Weissella oryzae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella oryzae
0	gi|658607765|ref|YP_009044763.1|	145	1248200658	WP_096699475	91	48.65	36	79.7	3e-16	2756	DUF3310 domain-containing protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|658607765|ref|YP_009044763.1|	145	1173602210	WP_081314044	132	48.65	36	80.1	5e-16	2756	DUF3310 domain-containing protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|658607765|ref|YP_009044763.1|	145	1173604135	WP_081315969	132	44.83	39	79	2e-15	2756	DUF3310 domain-containing protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|658607765|ref|YP_009044763.1|	145	1119539428	WP_072495591	78	54.17	39	74.7	2e-14	1280	DUF3310 domain-containing protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|658607765|ref|YP_009044763.1|	145	655912658	WP_028982861	78	43.24	32	72	2e-13	269673	DUF3310 domain-containing protein [Sporolactobacillus terrae]	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus terrae
0	gi|658607765|ref|YP_009044763.1|	145	757195095	WP_042739006	108	45.45	40	72.4	2e-13	1293	DUF3310 domain-containing protein [Staphylococcus gallinarum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum
0	gi|658607765|ref|YP_009044763.1|	145	1179960794	WP_083483148	149	47.89	34	72.4	5e-13	1607	DUF3310 domain-containing protein [Lactobacillus bifermentans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus bifermentans
0	gi|658607765|ref|YP_009044763.1|	145	1173641878	WP_081325884	162	38.68	41	72	8e-13	1288	DUF3310 domain-containing protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|658607765|ref|YP_009044763.1|	145	1001761749	WP_061306801	74	53.03	35	69.3	2e-12	1491	DUF3310 domain-containing protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|658607765|ref|YP_009044763.1|	145	1092726021	WP_070653891	148	38.52	52	70.5	2e-12	1739409	DUF3310 domain-containing protein [Staphylococcus sp. HMSC078E07]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC078E07
0	gi|658607765|ref|YP_009044763.1|	145	1248082856	WP_096586355	152	39.47	45	70.5	3e-12	53344	DUF3310 domain-containing protein [Staphylococcus delphini]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus delphini
0	gi|658607765|ref|YP_009044763.1|	145	1173640911	WP_081324919	176	49.32	36	70.5	4e-12	29385	DUF3310 domain-containing protein [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|658607765|ref|YP_009044763.1|	145	1252852800	WP_096811225	155	39.05	41	69.7	5e-12	214473	DUF3310 domain-containing protein [Staphylococcus nepalensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus nepalensis
0	gi|658607765|ref|YP_009044763.1|	145	896460425	WP_049385701	151	47.25	43	69.3	7e-12	1282	DUF3310 domain-containing protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|658607765|ref|YP_009044763.1|	145	1311439938	WP_101144220	72	45.71	32	67.4	9e-12	69966	DUF3310 domain-containing protein [Macrococcus caseolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus
0	gi|658607765|ref|YP_009044763.1|	145	1071454137	WP_069878270	116	50	36	68.2	9e-12	29385	DUF3310 domain-containing protein [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|658607765|ref|YP_009044763.1|	145	489585258	WP_003489703	73	53.73	36	67	1e-11	1509	DUF3310 domain-containing protein [Clostridium sporogenes]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sporogenes
0	gi|658607765|ref|YP_009044763.1|	145	896473696	WP_049391159	151	47.25	43	68.6	1e-11	1282	DUF3310 domain-containing protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|658607765|ref|YP_009044763.1|	145	1248136606	WP_096638157	152	38.6	44	68.2	2e-11	53344	DUF3310 domain-containing protein [Staphylococcus delphini]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus delphini
