qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|658310993|ref|YP_009043767.1|	112	1186148971	WP_085352832	108	38.53	42	72.8	8e-14	255045	DUF4406 domain-containing protein [Bradyrhizobium canariense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium canariense
0	gi|658310993|ref|YP_009043767.1|	112	1079333830	WP_070135946	100	38.53	42	67.4	8e-12	252393	DUF4406 domain-containing protein [Candidatus Erwinia dacicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Candidatus Erwinia dacicola
0	gi|658310993|ref|YP_009043767.1|	112	447189847	WP_001267103	99	42.73	47	66.6	2e-11	562	DUF4406 domain-containing protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658310993|ref|YP_009043767.1|	112	992047551	WP_061023930	119	36.75	43	66.6	2e-11	1768753	DUF4406 domain-containing protein [Bradyrhizobium sp. CCH5-F6]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. CCH5-F6
0	gi|658310993|ref|YP_009043767.1|	112	1211987906	WP_088563465	98	41.82	46	65.1	5e-11	562	DUF4406 domain-containing protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658310993|ref|YP_009043767.1|	112	754553203	WP_041946994	96	38.39	43	64.7	6e-11	55601	DUF4406 domain-containing protein [Vibrio anguillarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio anguillarum
0	gi|658310993|ref|YP_009043767.1|	112	485786775	WP_001409083	98	42.73	47	64.7	6e-11	562	DUF4406 domain-containing protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658310993|ref|YP_009043767.1|	112	1246872127	WP_096456365	116	34.82	39	65.1	7e-11	1718	DUF4406 domain-containing protein [Corynebacterium glutamicum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum
0	gi|658310997|ref|YP_009043771.1|	229	1046476363	WP_065647706	223	49.32	108	217	1e-66	472693	hypothetical protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|658310997|ref|YP_009043771.1|	229	1070432544	WP_069729495	226	47.95	105	213	5e-65	472705	hypothetical protein [Pantoea conspicua]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea conspicua
