qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410491909|ref|YP_006907177.1|	147	663202997	WP_030240820	147	89.12	131	273	4e-91	1883	MULTISPECIES: phage terminase small subunit P27 family [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|410491909|ref|YP_006907177.1|	147	663206721	WP_030244213	146	70.75	104	218	2e-69	1463902	phage terminase small subunit P27 family [Streptomyces sp. NRRL S-350]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-350
0	gi|410491909|ref|YP_006907177.1|	147	974666966	WP_059251377	147	71.43	105	202	4e-63	1926	phage terminase small subunit P27 family [Streptomyces reticuli]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces reticuli
0	gi|410491909|ref|YP_006907177.1|	147	1121565616	WP_073795522	146	70.75	104	201	7e-63	1048205	phage terminase small subunit P27 family [Streptomyces uncialis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces uncialis
0	gi|410491909|ref|YP_006907177.1|	147	663266757	WP_030285488	147	70.75	104	199	4e-62	66875	phage terminase small subunit P27 family [Streptomyces catenulae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces catenulae
0	gi|410491909|ref|YP_006907177.1|	147	943988512	WP_055582751	147	70.07	103	198	1e-61	42236	phage terminase small subunit P27 family [Streptomyces diastatochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces diastatochromogenes
0	gi|410491909|ref|YP_006907177.1|	147	727550268	WP_033825234	138	70.5	98	197	3e-61	1444768	phage terminase small subunit P27 family [Kitasatospora sp. MBT63]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. MBT63
0	gi|410491909|ref|YP_006907177.1|	147	1121535268	WP_073765453	146	70.07	103	188	1e-57	1718985	phage terminase small subunit P27 family [Streptomyces sp. CB02923]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02923
0	gi|410491909|ref|YP_006907177.1|	147	664247868	WP_030779388	146	70.27	104	186	6e-57	1463921	phage terminase small subunit P27 family [Streptomyces sp. NRRL S-920]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-920
0	gi|410491909|ref|YP_006907177.1|	147	1267766569	WP_098512212	151	59.6	90	182	3e-55	76022	phage terminase small subunit P27 family [Amycolatopsis sulphurea]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sulphurea
0	gi|410491909|ref|YP_006907177.1|	147	559025535	WP_023550835	132	44	44	93.6	5e-21	285450	phage terminase small subunit P27 family [Streptomyces roseochromogenus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces roseochromogenus
0	gi|410491909|ref|YP_006907177.1|	147	1154240954	WP_078612595	162	40	50	93.2	1e-20	58343	phage terminase small subunit P27 family [Streptomyces canus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces canus
0	gi|410491909|ref|YP_006907177.1|	147	1288884623	WP_100589004	162	40.16	49	92	3e-20	2020329	phage terminase small subunit P27 family [Kitasatospora sp. CB02891]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. CB02891
0	gi|410491909|ref|YP_006907177.1|	147	1180400882	WP_083919679	157	37.19	45	91.7	4e-20	280236	phage terminase small subunit P27 family [Nocardiopsis gilva]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis gilva
0	gi|410491909|ref|YP_006907177.1|	147	503909006	WP_014143000	160	40.65	50	91.3	7e-20	29303	phage terminase small subunit P27 family [Streptomyces cattleya]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya
