qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|414090273|ref|YP_006990388.1|	461	916660729	WP_051267820	419	49.52	205	396	3e-130	199	hypothetical protein [Campylobacter concisus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
0	gi|414090273|ref|YP_006990388.1|	461	1200750243	WP_087584251	419	49.88	206	394	1e-129	199	hypothetical protein [Campylobacter concisus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
0	gi|414090273|ref|YP_006990388.1|	461	515859469	WP_017290097	430	46.06	193	354	7e-114	1184	terminase [Leptolyngbya boryana]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana
0	gi|414090273|ref|YP_006990388.1|	461	959873269	WP_058149609	431	42.96	183	318	5e-100	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	817673744	WP_046638883	431	42.72	182	317	1e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	950502985	WP_057391132	431	42.96	183	317	1e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	959899048	WP_058166272	431	43.02	185	317	2e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	950484478	WP_057379530	431	42.96	183	316	3e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	953526008	WP_058010743	431	42.96	183	316	4e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	518226526	WP_019396734	431	43.19	184	316	4e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|414090273|ref|YP_006990388.1|	461	553768923	WP_023101097	431	42.96	183	316	5e-99	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
