qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|66395478|ref|YP_239798.1|	115	506510652	WP_015978008	115	100	115	233	3e-76	283734	hypothetical protein [Staphylococcus pseudintermedius]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius
0	gi|66395478|ref|YP_239798.1|	115	969905786	WP_058625958	115	67.83	78	166	8e-50	1288	hypothetical protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|66395478|ref|YP_239798.1|	115	808046784	WP_046208758	119	56.76	63	135	6e-38	29382	hypothetical protein [Staphylococcus cohnii]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii
0	gi|66395478|ref|YP_239798.1|	115	516232937	WP_017636900	119	60	66	135	7e-38	1279	MULTISPECIES: hypothetical protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|66395478|ref|YP_239798.1|	115	896506615	WP_049414120	119	56.36	62	133	5e-37	1290	hypothetical protein [Staphylococcus hominis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis
0	gi|66395478|ref|YP_239798.1|	115	1004654817	WP_061544536	119	59.05	62	132	9e-37	1290	hypothetical protein [Staphylococcus hominis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis
0	gi|66395478|ref|YP_239798.1|	115	515742817	WP_017175417	119	56.07	60	130	4e-36	1279	MULTISPECIES: hypothetical protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|66395478|ref|YP_239798.1|	115	896535564	WP_049438158	119	56.07	60	130	6e-36	1290	hypothetical protein [Staphylococcus hominis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis
0	gi|66395478|ref|YP_239798.1|	115	896450391	WP_049379143	119	56.07	60	130	6e-36	1279	MULTISPECIES: hypothetical protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|66395478|ref|YP_239798.1|	115	739686334	WP_037540952	119	57.14	60	129	1e-35	91061	MULTISPECIES: hypothetical protein [Bacilli]	Bacteria	Firmicutes	Bacilli				
