qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|298103486|ref|YP_003714728.1|	125	921254737	WP_053197773	121	76.92	90	175	3e-53	1938	hypothetical protein [Streptomyces viridochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes
0	gi|298103486|ref|YP_003714728.1|	125	985823555	WP_060881757	145	50.45	56	103	4e-25	1930	hypothetical protein [Streptomyces scabiei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei
0	gi|298103486|ref|YP_003714728.1|	125	663323005	WP_030322853	141	45.6	57	102	8e-25	68199	hypothetical protein [Streptomyces flavochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces flavochromogenes
0	gi|298103486|ref|YP_003714728.1|	125	1225938338	WP_093931584	139	48.41	61	102	8e-25	1761905	hypothetical protein [Streptomyces sp. ok210]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. ok210
0	gi|298103486|ref|YP_003714728.1|	125	739968860	WP_037819116	145	49.55	55	102	1e-24	2062	MULTISPECIES: hypothetical protein [Streptomycetaceae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae		
0	gi|298103486|ref|YP_003714728.1|	125	648552245	WP_026243996	140	46.88	60	101	3e-24	1157639	hypothetical protein [Streptomyces sp. FxanaD5]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. FxanaD5
0	gi|298103486|ref|YP_003714728.1|	125	716908644	WP_033524784	139	45.97	57	100	6e-24	33898	hypothetical protein [Streptomyces galbus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces galbus
0	gi|298103486|ref|YP_003714728.1|	125	1121754813	WP_073958547	136	45.53	56	100	7e-24	1703923	hypothetical protein [Streptomyces sp. TSRI0395]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. TSRI0395
0	gi|298103486|ref|YP_003714728.1|	125	764832972	WP_044474029	141	44.53	57	99.8	1e-23	85558	hypothetical protein [Streptomyces turgidiscabies]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces turgidiscabies
0	gi|298103486|ref|YP_003714728.1|	125	1268831222	WP_099055839	123	45.53	56	99.4	1e-23	1971	hypothetical protein [Streptomyces noursei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces noursei
0	gi|298103486|ref|YP_003714728.1|	125	1225340566	WP_093351149	123	48.31	57	98.2	3e-23	418522	hypothetical protein [Saccharopolyspora jiangxiensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora jiangxiensis
0	gi|298103486|ref|YP_003714728.1|	125	1011910212	WP_062724897	142	48.51	49	98.2	6e-23	661399	hypothetical protein [Streptomyces caeruleatus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces caeruleatus
0	gi|298103486|ref|YP_003714728.1|	125	740081346	WP_037930832	140	53.26	49	97.4	9e-23	1460244	hypothetical protein [Streptomyces sp. PCS3-D2]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. PCS3-D2
0	gi|298103486|ref|YP_003714728.1|	125	916324128	WP_051059174	129	46.43	52	96.7	1e-22	53441	hypothetical protein [Nocardiopsis lucentensis]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis lucentensis
0	gi|298103486|ref|YP_003714728.1|	125	739935898	WP_037786183	139	52.69	49	96.7	2e-22	1288079	hypothetical protein [Streptomyces sp. CNT318]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CNT318
0	gi|298103486|ref|YP_003714728.1|	125	654238437	WP_027754143	139	44	55	95.9	4e-22	1137269	hypothetical protein [Streptomyces sp. CNH099]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CNH099
0	gi|298103486|ref|YP_003714728.1|	125	944411354	WP_055693030	142	50	54	94.7	1e-21	67344	hypothetical protein [Streptomyces prasinopilosus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces prasinopilosus
0	gi|298103486|ref|YP_003714728.1|	125	817134624	WP_046507119	142	42.64	55	94.7	1e-21	1417980	hypothetical protein [Streptomyces sp. NRRL B-24891]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces odonnellii
0	gi|298103486|ref|YP_003714728.1|	125	738605745	WP_036516151	145	51.65	47	94.7	1e-21	426716	hypothetical protein [Nocardia rhamnosiphila]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia rhamnosiphila
0	gi|298103486|ref|YP_003714728.1|	125	516212413	WP_017616376	161	43.31	55	94.4	3e-21	245836	hypothetical protein [Nocardiopsis salina]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis salina
0	gi|298103486|ref|YP_003714728.1|	125	1224913408	WP_092929359	128	44.35	55	93.6	3e-21	673379	hypothetical protein [Actinopolyspora alba]	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	Actinopolyspora alba
0	gi|298103486|ref|YP_003714728.1|	125	1098699108	WP_071279682	141	50.54	47	93.6	3e-21	1906740	hypothetical protein [Streptomyces sp. CC53]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CC53
0	gi|298103486|ref|YP_003714728.1|	125	1277436292	WP_100046293	142	52.17	48	93.6	4e-21	2026341	hypothetical protein [Streptomyces sp. Alain-F2R5]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. Alain-F2R5
0	gi|298103486|ref|YP_003714728.1|	125	490079098	WP_003981218	156	51.65	47	93.2	6e-21	2062	MULTISPECIES: hypothetical protein [Streptomycetaceae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae		
0	gi|298103486|ref|YP_003714728.1|	125	739938769	WP_037789054	137	46.94	46	92.8	6e-21	68242	hypothetical protein [Streptomyces natalensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces natalensis
0	gi|298103486|ref|YP_003714728.1|	125	1197885691	WP_086809869	141	42.4	53	92	1e-20	146821	hypothetical protein [Streptomyces reticuliscabiei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces reticuliscabiei
0	gi|298103486|ref|YP_003714728.1|	125	1274312356	WP_099506078	141	42.97	55	92	1e-20	1958787	hypothetical protein [Streptomyces sp. HG99]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. HG99
0	gi|298103486|ref|YP_003714728.1|	125	1154335166	WP_078649929	117	48.45	47	90.1	3e-20	47761	hypothetical protein [Streptomyces ochraceiscleroticus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces ochraceiscleroticus
0	gi|298103486|ref|YP_003714728.1|	125	648426366	WP_026118117	160	43.75	49	90.5	6e-20	245836	hypothetical protein [Nocardiopsis salina]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis salina
0	gi|298103486|ref|YP_003714728.1|	125	1174981796	WP_081654941	105	40.38	42	82.4	3e-17	31958	hypothetical protein [Amycolatopsis orientalis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis orientalis
0	gi|298103486|ref|YP_003714728.1|	125	516189896	WP_017602178	113	49.46	46	82.4	3e-17	53441	hypothetical protein [Nocardiopsis lucentensis]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis lucentensis
0	gi|298103486|ref|YP_003714728.1|	125	1221673201	WP_089801541	157	34.92	44	82.4	7e-17	1855324	hypothetical protein [Cellulomonas sp. KH9]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas sp. KH9
0	gi|298103486|ref|YP_003714728.1|	125	503678219	WP_013912295	148	41.6	52	79.7	6e-16	65058	hypothetical protein [Corynebacterium ulcerans]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulcerans
