qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418489308|ref|YP_007003128.1|	280	1046476399	WP_065647742	269	48.53	132	266	2e-84	472693	hypothetical protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|418489308|ref|YP_007003128.1|	280	1070432517	WP_069729468	269	47.79	130	260	4e-82	472705	hypothetical protein [Pantoea conspicua]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea conspicua
0	gi|418489308|ref|YP_007003128.1|	280	665845953	WP_031214069	269	36.07	101	178	3e-50	1287313	hypothetical protein [Mesorhizobium sp. LSJC255A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LSJC255A00
0	gi|418489308|ref|YP_007003128.1|	280	916691911	WP_051299002	299	34.43	105	164	8e-45	404770	hypothetical protein [Marinobacterium litorale]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium litorale
0	gi|418489308|ref|YP_007003128.1|	280	1079301134	WP_070111541	297	39.88	65	122	9e-29	56804	hypothetical protein [Glaciecola punicea]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola punicea
0	gi|418489308|ref|YP_007003128.1|	280	740516713	WP_038345655	327	33.33	69	112	4e-25	1561217	hypothetical protein [Acinetobacter sp. A47]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. A47
0	gi|418489308|ref|YP_007003128.1|	280	490854495	WP_004716543	343	36.14	60	106	4e-23	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|418489308|ref|YP_007003128.1|	280	1055341857	WP_067006461	294	38.1	56	95.9	2e-19	478	hypothetical protein [Moraxella nonliquefaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens
0	gi|418489308|ref|YP_007003128.1|	280	1055146460	WP_066893676	294	37.41	55	93.2	1e-18	478	hypothetical protein [Moraxella nonliquefaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens
0	gi|418489308|ref|YP_007003128.1|	280	489768540	WP_003672462	305	35.58	58	85.1	8e-16	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|418489308|ref|YP_007003128.1|	280	497187563	WP_009501825	284	36	54	83.6	2e-15	765840	hypothetical protein [Moraxella macacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella macacae
0	gi|418489308|ref|YP_007003128.1|	280	1279631762	WP_100198787	305	34.36	56	82.8	5e-15	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
