qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|568190968|ref|YP_008770558.1|	224	490209503	WP_004107907	224	85.71	192	410	7e-143	2702	hypothetical protein [Gardnerella vaginalis]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
0	gi|568190968|ref|YP_008770558.1|	224	1267714822	WP_098472869	221	55.17	112	225	4e-70	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568190968|ref|YP_008770558.1|	224	1267620911	WP_098392480	221	54.68	111	224	1e-69	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568190968|ref|YP_008770558.1|	224	507053168	WP_016124135	222	52.71	107	214	7e-66	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568190968|ref|YP_008770558.1|	224	1267325721	WP_098169218	225	52.5	105	209	7e-64	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568190968|ref|YP_008770558.1|	224	1268100142	WP_098663795	225	52.5	105	208	2e-63	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568190968|ref|YP_008770558.1|	224	1267228948	WP_098087953	225	52.5	105	207	4e-63	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568190968|ref|YP_008770558.1|	224	1268171798	WP_098718552	225	49.76	102	189	7e-56	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568190968|ref|YP_008770558.1|	224	488059285	WP_002130682	218	47.6	99	182	2e-53	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568190968|ref|YP_008770558.1|	224	1267260969	WP_098115351	225	46.58	102	181	1e-52	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
