qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|460042259|ref|YP_007517700.1|	423	737235835	WP_035220166	443	51.49	207	435	9e-146	218208	hypothetical protein [Desulfatibacillum aliphaticivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum aliphaticivorans
0	gi|460042259|ref|YP_007517700.1|	423	506428984	WP_015948703	443	51.24	206	434	1e-145	259354	hypothetical protein [Desulfatibacillum alkenivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum alkenivorans
0	gi|460042259|ref|YP_007517700.1|	423	1120970600	WP_073478884	443	51.74	208	434	1e-145	259354	hypothetical protein [Desulfatibacillum alkenivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum alkenivorans
0	gi|460042259|ref|YP_007517700.1|	423	503278629	WP_013513290	428	47.61	199	411	7e-137	182210	hypothetical protein [Pseudodesulfovibrio aespoeensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	Pseudodesulfovibrio aespoeensis
0	gi|460042259|ref|YP_007517700.1|	423	505228572	WP_015415674	428	47.57	196	405	2e-134	879567	hypothetical protein [Pseudodesulfovibrio piezophilus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	Pseudodesulfovibrio piezophilus
0	gi|460042259|ref|YP_007517700.1|	423	1254079517	WP_097013720	428	46.99	195	404	9e-134	57320	hypothetical protein [Pseudodesulfovibrio profundus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	Pseudodesulfovibrio profundus
0	gi|460042259|ref|YP_007517700.1|	423	1055050627	WP_066800507	430	47.88	192	400	2e-132	1716143	hypothetical protein [Pseudodesulfovibrio indicus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	Pseudodesulfovibrio indicus
0	gi|460042259|ref|YP_007517700.1|	423	516838580	WP_018124174	424	47.12	196	398	8e-132	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|460042259|ref|YP_007517700.1|	423	1181330071	WP_084630956	448	45.89	190	399	1e-131	81425	hypothetical protein [Desulfovibrio aminophilus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio aminophilus
0	gi|460042259|ref|YP_007517700.1|	423	504088725	WP_014322719	428	47.51	191	396	9e-131	876	hypothetical protein [Desulfovibrio desulfuricans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans
0	gi|460042259|ref|YP_007517700.1|	423	938641527	WP_054649629	424	46.89	196	394	5e-130	221711	hypothetical protein [Desulfovibrio brasiliensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio brasiliensis
0	gi|460042259|ref|YP_007517700.1|	423	1119334060	WP_072311267	428	45.08	188	392	4e-129	872	MULTISPECIES: hypothetical protein [Desulfovibrio]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
0	gi|460042259|ref|YP_007517700.1|	423	1101995341	WP_071545208	428	46.02	185	390	2e-128	117209	hypothetical protein [Desulfovibrio dechloracetivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio dechloracetivorans
0	gi|460042259|ref|YP_007517700.1|	423	916777547	WP_051384603	416	43.68	183	381	4e-125	42252	hypothetical protein [Desulfovibrio termitidis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio termitidis
0	gi|460042259|ref|YP_007517700.1|	423	1224124281	WP_092153138	443	42.92	185	365	2e-118	571438	hypothetical protein [Desulfovibrio legallii]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio legallii
0	gi|460042259|ref|YP_007517700.1|	423	1119357812	WP_072334580	453	42.28	178	357	2e-115	901	hypothetical protein [Desulfovibrio piger]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
0	gi|460042259|ref|YP_007517700.1|	423	1124100427	WP_074448357	426	43.7	177	356	3e-115	108015	hypothetical protein [Bradyrhizobium yuanmingense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium yuanmingense
0	gi|460042259|ref|YP_007517700.1|	423	501718713	WP_012624352	461	41.19	180	356	1e-114	876	hypothetical protein [Desulfovibrio desulfuricans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans
0	gi|460042259|ref|YP_007517700.1|	423	1011337450	WP_062251476	444	41.88	183	355	2e-114	44742	hypothetical protein [Desulfovibrio fairfieldensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio fairfieldensis
0	gi|460042259|ref|YP_007517700.1|	423	1189748622	WP_085793749	436	42.49	164	350	9e-113	1529041	hypothetical protein [Roseivivax jejudonensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseivivax	Roseivivax jejudonensis
0	gi|460042259|ref|YP_007517700.1|	423	492852146	WP_006006100	509	42.54	174	352	1e-112	901	hypothetical protein [Desulfovibrio piger]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
0	gi|460042259|ref|YP_007517700.1|	423	550904928	WP_022658113	458	42.09	181	350	1e-112	876	hypothetical protein [Desulfovibrio desulfuricans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans
0	gi|460042259|ref|YP_007517700.1|	423	1056890552	WP_068305831	436	41.38	168	343	5e-110	1786003	hypothetical protein [Rhodobacter sp. CCB-MM2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sp. CCB-MM2
0	gi|460042259|ref|YP_007517700.1|	423	1143081367	WP_077072850	420	41.08	168	339	1e-108	1903261	hypothetical protein [Mailhella massiliensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella massiliensis
0	gi|460042259|ref|YP_007517700.1|	423	916954729	WP_051561441	465	40.37	174	332	3e-105	1380391	hypothetical protein [Dongia sp. URHE0060]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Dongia sp. URHE0060
0	gi|460042259|ref|YP_007517700.1|	423	501027962	WP_012080059	436	41.19	166	327	1e-103	375286	hypothetical protein [Janthinobacterium sp. Marseille]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. Marseille
0	gi|460042259|ref|YP_007517700.1|	423	917671628	WP_052225387	431	39.85	155	294	5e-91	1574409	hypothetical protein [Mesorhizobium sp. F7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. F7
0	gi|460042259|ref|YP_007517700.1|	423	1325958969	WP_101828346	390	36.88	142	270	4e-82	2060066	hypothetical protein [Yersiniaceae bacterium 2016Iso3]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae		Yersiniaceae bacterium 2016Iso3
0	gi|460042259|ref|YP_007517700.1|	423	497422242	WP_009736440	402	38.4	154	268	2e-81	709797	hypothetical protein [Bradyrhizobiaceae bacterium SG-6C]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae		Bradyrhizobiaceae bacterium SG-6C
0	gi|460042259|ref|YP_007517700.1|	423	1281957311	WP_100317257	457	35.66	143	258	7e-77	2032580	hypothetical protein [Xanthomonadaceae bacterium NML75-0749]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Xanthomonadaceae bacterium NML75-0749
0	gi|460042259|ref|YP_007517700.1|	423	1281960691	WP_100320561	457	35.5	142	256	4e-76	2032577	hypothetical protein [Xanthomonadaceae bacterium NML95-0200]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Xanthomonadaceae bacterium NML95-0200
0	gi|460042259|ref|YP_007517700.1|	423	1269679486	WP_099144243	464	33.71	149	254	2e-75	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|460042259|ref|YP_007517700.1|	423	1225076672	WP_093090117	429	36.36	148	253	2e-75	254406	hypothetical protein [Thalassobius aestuarii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius	Thalassobius aestuarii
0	gi|460042259|ref|YP_007517700.1|	423	1209244707	WP_088296135	464	33.64	146	251	4e-74	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|460042259|ref|YP_007517700.1|	423	657899685	WP_029602725	464	33.41	145	250	1e-73	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|460042259|ref|YP_007517700.1|	423	496665863	WP_009308353	464	33.41	145	249	1e-73	570	MULTISPECIES: hypothetical protein [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|460042259|ref|YP_007517700.1|	423	1060742576	WP_069135011	464	33.41	145	249	1e-73	1463165	hypothetical protein [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|460042259|ref|YP_007517700.1|	423	1031817208	WP_064145707	464	33.41	145	249	1e-73	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
