qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|593779912|ref|YP_009017738.1|	309	1174867128	WP_081544387	301	31.25	95	151	2e-39	394935	hypothetical protein [Chromobacterium haemolyticum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum
0	gi|593779912|ref|YP_009017738.1|	309	1174848485	WP_081528178	296	32.23	97	142	8e-36	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|593779912|ref|YP_009017738.1|	309	921977214	WP_053269401	332	29.66	97	94	1e-18	587753	hypothetical protein [Pseudomonas chlororaphis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas chlororaphis
0	gi|593779912|ref|YP_009017738.1|	309	1200056153	WP_087502364	348	27.81	94	87.8	2e-16	1986221	hypothetical protein [Pseudomonas sp. SID14000]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. SID14000
0	gi|593779912|ref|YP_009017738.1|	309	1189160542	WP_085589313	359	26.36	92	85.9	1e-15	1981745	hypothetical protein [Pseudomonas sp. B14(2017)]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. B14(2017)
0	gi|593779912|ref|YP_009017738.1|	309	919148627	WP_052704259	456	30.93	90	85.9	3e-15	579478	hypothetical protein [Halomonas sp. S2151]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. S2151
0	gi|593779912|ref|YP_009017738.1|	309	1122323043	WP_074014835	440	26.87	72	75.1	1e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1016488746	WP_063078607	440	27.24	73	73.9	3e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	727766374	WP_033870695	440	26.87	72	73.9	3e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	490078581	WP_003980712	445	26.87	72	73.9	3e-11	562	ATP dependent DNA ligase domain protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1254410200	WP_097296362	440	26.87	72	73.6	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1215563463	WP_089075249	440	27.24	73	73.6	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1206329488	WP_087905098	440	27.24	73	73.2	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1258231022	WP_097558673	440	26.87	72	73.2	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1016557739	WP_063122715	440	26.87	72	73.2	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	723048864	WP_033546496	440	26.87	72	73.2	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1016498740	WP_063085634	440	26.87	72	73.2	4e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	553806213	WP_023135648	440	26.87	72	73.2	4e-11	543	MULTISPECIES: DNA ligase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|593779912|ref|YP_009017738.1|	309	693001451	WP_032187678	440	26.87	72	73.2	5e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1255916755	WP_097472558	440	26.87	72	72.8	6e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779912|ref|YP_009017738.1|	309	1119759146	WP_072662624	440	26.87	72	72.8	6e-11	562	DNA ligase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779913|ref|YP_009017739.1|	863	1122786420	WP_074146407	893	47.42	423	768	0	1496	DNA-dependent RNA polymerase [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|593779913|ref|YP_009017739.1|	863	447015099	WP_001092355	883	45.61	400	759	0	543	MULTISPECIES: DNA-dependent RNA polymerase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|593779913|ref|YP_009017739.1|	863	1173339049	WP_081195781	883	45.5	399	756	0	562	DNA-dependent RNA polymerase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|593779913|ref|YP_009017739.1|	863	916815034	WP_051422090	897	45.55	404	756	0	1284392	DNA polymerase [Pseudomonas sp. FH1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FH1
0	gi|593779913|ref|YP_009017739.1|	863	1200056155	WP_087502366	889	45.07	398	739	0	1986221	DNA-dependent RNA polymerase [Pseudomonas sp. SID14000]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. SID14000
0	gi|593779913|ref|YP_009017739.1|	863	1332593372	WP_102643131	892	45.1	400	722	0	286	MULTISPECIES: DNA-dependent RNA polymerase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
