qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|588498648|ref|YP_009003159.1|	690	955298547	WP_058099420	677	43.82	280	525	1e-173	1745182	hypothetical protein [Paracoccus sp. MKU1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus sp. MKU1
0	gi|588498648|ref|YP_009003159.1|	690	737289819	WP_035272967	649	36.73	227	349	3e-106	511	hypothetical protein [Alcaligenes faecalis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis
0	gi|588498648|ref|YP_009003159.1|	690	748660625	WP_039918756	398	43.72	174	317	5e-97	39650	hypothetical protein [Cellvibrio mixtus]	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio mixtus
0	gi|588498648|ref|YP_009003159.1|	690	1224812929	WP_092829996	632	32.5	182	273	6e-78	1380357	hypothetical protein [Rhodospirillales bacterium URHD0017]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium URHD0017
0	gi|588498648|ref|YP_009003159.1|	690	1125681090	WP_075042107	643	32.18	186	263	3e-74	94625	hypothetical protein [Ochrobactrum intermedium]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum intermedium
0	gi|588498648|ref|YP_009003159.1|	690	1049014820	WP_065815631	626	32.12	185	259	6e-73	204799	hypothetical protein [Nitratireductor aquibiodomus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor aquibiodomus
0	gi|588498648|ref|YP_009003159.1|	690	981934257	WP_060116547	627	29.57	178	244	2e-67	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|588498648|ref|YP_009003159.1|	690	522188005	WP_020696553	651	29.25	167	215	1e-56	445220	hypothetical protein [Reyranella massiliensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		Reyranella	Reyranella massiliensis
0	gi|588498648|ref|YP_009003159.1|	690	545444784	WP_021681971	469	26.42	112	118	1e-24	40519	hypothetical protein [Ruminococcus callidus]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus callidus
0	gi|588498652|ref|YP_009003163.1|	157	751308322	WP_041016400	153	51.35	76	162	2e-47	340071	dUTP diphosphatase [Criblamydia sequanensis]	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Criblamydiaceae	Criblamydia	Criblamydia sequanensis
