qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9629529|ref|NP_044817.1|	568	1159300423	WP_079232085	573	34.06	203	298	2e-89	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629529|ref|NP_044817.1|	568	985500152	WP_060797276	573	33.84	202	292	8e-87	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629529|ref|NP_044817.1|	568	1149909979	WP_077841611	570	34.24	201	288	2e-85	1520	hypothetical protein [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|9629529|ref|NP_044817.1|	568	1253038502	WP_096920856	576	33.22	199	273	8e-80	2041044	hypothetical protein [Eubacterium sp. YI]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. YI
0	gi|9629529|ref|NP_044817.1|	568	1149923876	WP_077853598	464	33.33	160	226	3e-63	1520	hypothetical protein, partial [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|9629529|ref|NP_044817.1|	568	1267462269	WP_098281634	600	31.66	183	224	4e-61	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|9629529|ref|NP_044817.1|	568	1333423425	WP_102981910	690	29.46	185	196	1e-50	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|9629529|ref|NP_044817.1|	568	488380202	WP_002449587	684	25.68	95	85.5	6e-14	1290	DNA polymerase [Staphylococcus hominis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis
0	gi|9629529|ref|NP_044817.1|	568	896449820	WP_049378643	694	24.12	82	80.1	3e-12	1282	hypothetical protein [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|9629529|ref|NP_044817.1|	568	1267238392	WP_098096910	670	25.46	139	76.6	3e-11	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|9629533|ref|NP_044821.1|	365	1159300421	WP_079232083	442	29.05	104	160	4e-41	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629533|ref|NP_044821.1|	365	985500150	WP_060797274	442	28.91	98	160	4e-41	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629533|ref|NP_044821.1|	365	985500446	WP_060797322	442	28.91	98	160	5e-41	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629533|ref|NP_044821.1|	365	1333423434	WP_102981919	442	28.09	100	136	2e-32	1428	phage head protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|9629533|ref|NP_044821.1|	365	1253038509	WP_096920863	436	28.24	98	122	1e-27	2041044	hypothetical protein [Eubacterium sp. YI]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. YI
0	gi|9629533|ref|NP_044821.1|	365	1149909982	WP_077841614	404	27.02	97	110	1e-23	1520	hypothetical protein [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|9629535|ref|NP_044823.1|	337	1333423436	WP_102981921	317	31.53	99	147	2e-37	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|9629535|ref|NP_044823.1|	337	1159300419	WP_079232081	326	30.53	87	139	3e-34	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629535|ref|NP_044823.1|	337	985500148	WP_060797272	326	30.53	87	138	4e-34	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629535|ref|NP_044823.1|	337	1253038512	WP_096920866	305	32.62	91	135	5e-33	2041044	hypothetical protein [Eubacterium sp. YI]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. YI
0	gi|9629535|ref|NP_044823.1|	337	1267462276	WP_098281641	339	25.25	75	103	2e-21	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|9629535|ref|NP_044823.1|	337	1149909984	WP_077841616	291	25.93	77	89	7e-17	1520	hypothetical protein [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|9629542|ref|NP_044830.1|	253	1196911923	WP_086350260	256	40.15	104	176	4e-50	1834193	hypothetical protein [Enterococcus sp. 9E7_DIV0242]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 9E7_DIV0242
0	gi|9629542|ref|NP_044830.1|	253	1196867007	WP_086311752	254	38.76	100	170	1e-47	1834176	hypothetical protein [Enterococcus sp. 3G1_DIV0629]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 3G1_DIV0629
0	gi|9629542|ref|NP_044830.1|	253	514906593	WP_016631646	254	38.37	99	168	5e-47	1352	hypothetical protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|9629544|ref|NP_044832.1|	237	1325912294	WP_101785747	901	48.78	80	159	1e-40	28037	peptidase M23 [Streptococcus mitis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
0	gi|9629544|ref|NP_044832.1|	237	1324239105	WP_101498167	895	48.17	79	157	5e-40	1313	peptidase M23 [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
