qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|162135083|ref|YP_001595824.1|	114	516563814	WP_017939000	83	58.97	46	108	7e-28	157784	hypothetical protein [Pseudomonas thermotolerans]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas thermotolerans
0	gi|162135083|ref|YP_001595824.1|	114	917561033	WP_052156423	83	55.13	43	100	2e-24	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|162135083|ref|YP_001595824.1|	114	516958916	WP_018184720	77	45.71	32	75.5	4e-15	363259	hypothetical protein [Kaistia granuli]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	Kaistia granuli
0	gi|162135084|ref|YP_001595825.1|	564	653408397	WP_027521734	513	27.96	163	196	6e-52	189753	ATP-dependent helicase [Bradyrhizobium sp. Ec3.3]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Ec3.3
0	gi|162135084|ref|YP_001595825.1|	564	492690419	WP_005923817	562	28.42	162	179	3e-45	853	ATP-dependent helicase [Faecalibacterium prausnitzii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
0	gi|162135084|ref|YP_001595825.1|	564	1273051205	WP_099448193	449	26.79	146	173	4e-44	1898203	ATP-dependent helicase [Lachnospiraceae bacterium]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		Lachnospiraceae bacterium
0	gi|162135084|ref|YP_001595825.1|	564	651374476	WP_026486702	547	26.3	147	172	3e-43	44256	ATP-dependent helicase [Caldanaerobius polysaccharolyticus]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobius	Caldanaerobius polysaccharolyticus
0	gi|162135084|ref|YP_001595825.1|	564	1142146382	WP_076982651	441	29.31	158	166	1e-41	404335	ATP-dependent helicase [Syntrophomonas zehnderi]	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas zehnderi
0	gi|162135084|ref|YP_001595825.1|	564	1154766259	WP_078682917	441	29.41	155	166	1e-41	1881060	ATP-dependent helicase [Clostridium sp. USBA 49]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. USBA 49
0	gi|162135084|ref|YP_001595825.1|	564	951377864	WP_057754044	472	28.49	159	166	2e-41	989370	ATP-dependent helicase [Bradyrhizobium manausense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium manausense
0	gi|162135084|ref|YP_001595825.1|	564	951589506	WP_057902082	481	29.32	163	163	2e-40	1518501	ATP-dependent helicase [Bradyrhizobium valentinum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium valentinum
0	gi|162135084|ref|YP_001595825.1|	564	493917109	WP_006862296	454	25.88	140	161	6e-40	168384	ATP-dependent helicase [Marvinbryantia formatexigens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	Marvinbryantia formatexigens
0	gi|162135084|ref|YP_001595825.1|	564	501109526	WP_012159147	419	28.11	147	159	2e-39	461876	ATP-dependent helicase [Alkaliphilus oremlandii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	Alkaliphilus oremlandii
0	gi|162135084|ref|YP_001595825.1|	564	738823093	WP_036713231	441	27.81	151	159	3e-39	79264	ATP-dependent helicase [Paenibacillus ehimensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus ehimensis
0	gi|162135084|ref|YP_001595825.1|	564	1124324895	WP_074617165	491	27.4	154	159	5e-39	1736	ATP-dependent helicase [Eubacterium limosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
0	gi|162135084|ref|YP_001595825.1|	564	1194616031	WP_085948309	548	27.85	159	159	1e-38	1736	ATP-dependent helicase [Eubacterium limosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
0	gi|162135084|ref|YP_001595825.1|	564	1174308087	WP_081474284	572	27.85	159	159	2e-38	1487	ATP-dependent helicase [[Butyribacterium] methylotrophicum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	[Butyribacterium] methylotrophicum
0	gi|162135084|ref|YP_001595825.1|	564	1176551539	WP_082378530	444	27.31	148	157	2e-38	1677858	ATP-dependent helicase [Propionispora sp. 2/2-37]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora sp. 2/2-37
