qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|160700595|ref|YP_001552270.1|	581	1027704399	WP_063639592	816	47.78	43	82.4	6e-13	1631616	hypothetical protein [Achromobacter sp. AR476-2]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. AR476-2
0	gi|160700595|ref|YP_001552270.1|	581	1208283780	WP_088141957	704	45.56	41	78.6	8e-12	85698	hypothetical protein [Achromobacter xylosoxidans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
0	gi|160700595|ref|YP_001552270.1|	581	820801657	WP_046762913	120	50	34	71.2	5e-11	56193	hypothetical protein [Sphingobium chungbukense]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium chungbukense
0	gi|160700595|ref|YP_001552270.1|	581	1196668193	WP_086249683	752	44.71	38	75.9	6e-11	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|160700596|ref|YP_001552271.1|	2631	1055134869	WP_066882577	1024	29.35	322	386	2e-108	281362	hypothetical protein [Dechloromonas denitrificans]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas denitrificans
0	gi|160700596|ref|YP_001552271.1|	2631	503058988	WP_013293964	1640	29.15	311	377	2e-102	370405	hypothetical protein [Gallionella capsiferriformans]	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	Gallionella capsiferriformans
0	gi|160700596|ref|YP_001552271.1|	2631	1159323563	WP_079253961	3048	35.76	260	377	3e-101	1633495	hypothetical protein [Endozoicomonas arenosclerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas arenosclerae
0	gi|160700596|ref|YP_001552271.1|	2631	1181039155	WP_084448590	3525	35.46	283	372	8e-100	102109	PLxRFG domain-containing protein [Desulfovibrio inopinatus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio inopinatus
0	gi|160700596|ref|YP_001552271.1|	2631	1267305558	WP_098153390	755	36.12	255	350	8e-99	28095	class I SAM-dependent methyltransferase [Burkholderia gladioli]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli
0	gi|160700596|ref|YP_001552271.1|	2631	1134335788	WP_076575420	2950	34.27	245	339	9e-90	1907416	hypothetical protein [Aeromonas sp. RU39B]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. RU39B
