qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|237651546|ref|YP_002899016.1|	260	665845953	WP_031214069	269	36.16	98	161	5e-44	1287313	hypothetical protein [Mesorhizobium sp. LSJC255A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LSJC255A00
0	gi|237651546|ref|YP_002899016.1|	260	1070432517	WP_069729468	269	35.34	94	146	3e-38	472705	hypothetical protein [Pantoea conspicua]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea conspicua
0	gi|237651546|ref|YP_002899016.1|	260	1046476399	WP_065647742	269	35.96	96	137	7e-35	472693	hypothetical protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|237651546|ref|YP_002899016.1|	260	916691911	WP_051299002	299	42.28	63	116	8e-27	404770	hypothetical protein [Marinobacterium litorale]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium litorale
0	gi|237651546|ref|YP_002899016.1|	260	1079301134	WP_070111541	297	31.28	76	112	2e-25	56804	hypothetical protein [Glaciecola punicea]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola punicea
0	gi|237651546|ref|YP_002899016.1|	260	740516713	WP_038345655	327	29.91	64	85.5	5e-16	1561217	hypothetical protein [Acinetobacter sp. A47]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. A47
0	gi|237651546|ref|YP_002899016.1|	260	489768540	WP_003672462	305	32.52	53	80.1	3e-14	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651546|ref|YP_002899016.1|	260	896127617	WP_049149113	305	32.52	53	80.1	4e-14	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651546|ref|YP_002899016.1|	260	1279631762	WP_100198787	305	31.9	52	79	9e-14	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651546|ref|YP_002899016.1|	260	740734340	WP_038519626	318	31.29	51	77.8	2e-13	480	hypothetical protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|237651546|ref|YP_002899016.1|	260	1055341857	WP_067006461	294	31.55	53	74.3	3e-12	478	hypothetical protein [Moraxella nonliquefaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens
