qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410491966|ref|YP_006908773.1|	157	563481657	WP_023705286	152	42.86	51	86.3	5e-18	1287313	hypothetical protein [Mesorhizobium sp. LSJC255A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LSJC255A00
0	gi|410491966|ref|YP_006908773.1|	157	1181506182	WP_084798739	128	40.21	39	73.9	1e-13	472693	hypothetical protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|410491970|ref|YP_006908777.1|	102	822544298	WP_046973424	104	75.49	77	162	6e-49	231455	hypothetical protein [Dyella japonica]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella japonica
0	gi|410491976|ref|YP_006908783.1|	126	1198997759	WP_087106869	91	50	47	90.5	1e-20	1960125	DUF4326 domain-containing protein [Endozoicomonas sp. S-B4-1U]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Parendozoicomonas	Parendozoicomonas haliclonae
0	gi|410491976|ref|YP_006908783.1|	126	1258456466	WP_097652851	109	54.12	46	90.5	2e-20	1506545	DUF4326 domain-containing protein [Candidatus Chloroploca asiatica]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Candidatus Chloroploca	Candidatus Chloroploca asiatica
0	gi|410491976|ref|YP_006908783.1|	126	502797051	WP_013032027	102	48.39	45	90.1	3e-20	133539	DUF4326 domain-containing protein [Nitrosococcus halophilus]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus
0	gi|410491976|ref|YP_006908783.1|	126	554674422	WP_023175694	129	46.94	46	82	6e-17	1416614	DUF4326 domain-containing protein [Gloeobacter kilaueensis]	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter kilaueensis
0	gi|410491976|ref|YP_006908783.1|	126	518196728	WP_019366936	97	48.39	45	80.1	2e-16	286	MULTISPECIES: DUF4326 domain-containing protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|410491976|ref|YP_006908783.1|	126	932311970	WP_054313315	89	46.59	41	77	2e-15	1529006	DUF4326 domain-containing protein [Mesorhizobium sp. 1M-11]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. 1M-11
0	gi|410491976|ref|YP_006908783.1|	126	1174902579	WP_081576767	299	41.24	40	79	5e-15	930	DUF4326 domain-containing protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|410491976|ref|YP_006908783.1|	126	1148486054	WP_077273526	299	41.24	40	77.4	1e-14	930	DUF4326 domain-containing protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|410491976|ref|YP_006908783.1|	126	1176840226	WP_082597011	150	45.74	43	75.9	2e-14	258255	MULTISPECIES: DUF4326 domain-containing protein [Pseudovibrio]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudovibrio	
0	gi|410491976|ref|YP_006908783.1|	126	563840827	WP_023801724	89	46.59	41	74.3	2e-14	1287182	DUF4326 domain-containing protein [Mesorhizobium sp. L48C026A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. L48C026A00
0	gi|410491976|ref|YP_006908783.1|	126	752799093	WP_041438523	108	39.77	35	73.9	4e-14	37636	DUF4326 domain-containing protein [Thermus scotoductus]	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus scotoductus
0	gi|410491976|ref|YP_006908783.1|	126	557839063	WP_023462223	101	43.82	39	73.6	5e-14	1282363	DUF4326 domain-containing protein [Asticcacaulis sp. YBE204]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis sp. YBE204
0	gi|410491976|ref|YP_006908783.1|	126	1039938256	WP_065008859	89	44.32	39	72.8	9e-14	68287	MULTISPECIES: DUF4326 domain-containing protein [Mesorhizobium]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	
0	gi|410491976|ref|YP_006908783.1|	126	739404311	WP_037264846	109	39.6	40	72.8	1e-13	93683	DUF4326 domain-containing protein [Roseivivax halodurans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseivivax	Roseivivax halodurans
0	gi|410491976|ref|YP_006908783.1|	126	500993681	WP_012047168	113	45.56	41	72.8	1e-13	288000	DUF4326 domain-containing protein [Bradyrhizobium sp. BTAi1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. BTAi1
0	gi|410491976|ref|YP_006908783.1|	126	1119689542	WP_072608332	102	44.94	40	72.4	2e-13	1670800	DUF4326 domain-containing protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|410491976|ref|YP_006908783.1|	126	1147437635	WP_077218220	277	40	38	74.3	2e-13	119978	DUF4326 domain-containing protein [Acidithiobacillus albertensis]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus albertensis
0	gi|410491976|ref|YP_006908783.1|	126	1149993780	WP_077920449	101	44.21	42	72	2e-13	1955701	DUF4326 domain-containing protein [Spirosoma sp. 209]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma sp. 209
0	gi|410491976|ref|YP_006908783.1|	126	657239227	WP_029350747	89	43.18	38	71.6	2e-13	39645	DUF4326 domain-containing protein [Mesorhizobium ciceri]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium ciceri
0	gi|410491976|ref|YP_006908783.1|	126	1124252448	WP_074551668	113	43.82	39	72	3e-13	1379159	DUF4326 domain-containing protein [Dyella jiangningensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella jiangningensis
0	gi|410491976|ref|YP_006908783.1|	126	930061891	WP_054164262	89	41.18	35	71.2	3e-13	41294	MULTISPECIES: DUF4326 domain-containing protein [Bradyrhizobiaceae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae		
0	gi|410491976|ref|YP_006908783.1|	126	753788511	WP_041544154	102	38.32	41	71.2	4e-13	266779	DUF4326 domain-containing protein [Chelativorans sp. BNC1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Chelativorans	Chelativorans sp. BNC1
0	gi|410491976|ref|YP_006908783.1|	126	665928135	WP_031294186	107	42.86	39	71.2	4e-13	420994	DUF4326 domain-containing protein [Sphingobium ummariense]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium ummariense
0	gi|410491976|ref|YP_006908783.1|	126	1196404059	WP_086086409	102	44.44	40	70.9	5e-13	1235591	DUF4326 domain-containing protein [Pseudorhodoplanes sinuspersici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Pseudorhodoplanes	Pseudorhodoplanes sinuspersici
0	gi|410491976|ref|YP_006908783.1|	126	502771615	WP_013006599	92	40.66	37	70.5	6e-13	106633	MULTISPECIES: DUF4326 domain-containing protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|410491976|ref|YP_006908783.1|	126	1219196515	WP_089216171	107	42.86	39	70.9	7e-13	436663	DUF4326 domain-containing protein [Sphingopyxis indica]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis indica
0	gi|410491976|ref|YP_006908783.1|	126	1054793965	WP_066557159	99	45.68	37	70.5	7e-13	1315974	DUF4326 domain-containing protein [Sphingobium sp. TKS]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. TKS
0	gi|410491976|ref|YP_006908783.1|	126	860555317	WP_048462569	101	44.94	40	70.5	8e-13	270351	DUF4326 domain-containing protein [Methylobacterium aquaticum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium aquaticum
