qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589892709|ref|YP_009009145.1|	65	766622765	WP_044798178	65	100	65	128	2e-36	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892709|ref|YP_009009145.1|	65	1205191893	WP_087875748	74	98.46	64	125	1e-35	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892709|ref|YP_009009145.1|	65	507026375	WP_016098393	73	98.46	64	125	2e-35	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|589892709|ref|YP_009009145.1|	65	1333386480	WP_102947959	65	98.46	64	125	2e-35	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892709|ref|YP_009009145.1|	65	446759182	WP_000836438	73	96.92	63	124	8e-35	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|589892709|ref|YP_009009145.1|	65	1196983243	WP_086403182	73	96.92	63	124	9e-35	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892709|ref|YP_009009145.1|	65	662064277	WP_030029918	74	96.92	63	123	1e-34	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892709|ref|YP_009009145.1|	65	446366111	WP_000443966	73	96.92	63	123	2e-34	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|589892709|ref|YP_009009145.1|	65	446366110	WP_000443965	59	98.31	58	114	3e-31	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|589892709|ref|YP_009009145.1|	65	985612363	WP_060851848	61	93.44	57	112	2e-30	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|589892709|ref|YP_009009145.1|	65	446366112	WP_000443967	73	89.23	58	112	3e-30	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|589892709|ref|YP_009009145.1|	65	446366109	WP_000443964	61	91.8	56	111	4e-30	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
