qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410491180|ref|YP_006906402.1|	107	506585241	WP_016051441	123	94.39	101	179	6e-55	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	695306870	WP_032509045	123	93.46	100	176	4e-54	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	506584858	WP_016051058	123	90.65	97	170	2e-51	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	1121653524	WP_073868148	82	93.9	77	126	7e-35	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	1121653522	WP_073868146	82	93.9	77	126	7e-35	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	1121653514	WP_073868138	82	92.68	76	123	1e-33	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	1121653527	WP_073868151	82	89.02	73	115	1e-30	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	1121653536	WP_073868158	90	83.75	67	110	2e-28	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	1008818628	WP_061870189	74	91.78	67	109	2e-28	216816	hypothetical protein, partial [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491180|ref|YP_006906402.1|	107	1121653533	WP_073868155	83	79.27	65	105	1e-26	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491180|ref|YP_006906402.1|	107	552881140	WP_023031742	110	40.74	44	90.5	1e-20	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|410491181|ref|YP_006906403.1|	503	506585242	WP_016051442	503	94.43	475	940	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
