qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|18496889|ref|NP_569739.1|	83	1183636015	WP_084869429	81	66.25	53	87.4	4e-20	43767	hypothetical protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|18496889|ref|NP_569739.1|	83	1183729551	WP_084954995	82	50.6	42	79.7	4e-17	43767	hypothetical protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|18496889|ref|NP_569739.1|	83	1224629653	WP_092649042	78	62.82	49	79	7e-17	131110	hypothetical protein [Actinomyces radingae]	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces radingae
0	gi|18496889|ref|NP_569739.1|	83	498790051	WP_010836797	101	60.49	49	79.3	8e-17	38312	hypothetical protein [Rhodococcus rhodnii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodnii
0	gi|18496889|ref|NP_569739.1|	83	1122340939	WP_074026130	93	64.1	50	79	1e-16	1673722	hypothetical protein [Actinomyces ihumii]	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces ihumii
0	gi|18496889|ref|NP_569739.1|	83	545107798	WP_021470884	77	61.9	39	75.1	2e-15	1349820	hypothetical protein [Arthrobacter sp. AK-YN10]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. AK-YN10
0	gi|18496889|ref|NP_569739.1|	83	1176556238	WP_082383229	104	50	40	75.5	3e-15	1690245	hypothetical protein [Frigoribacterium sp. RIT-PI-h]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Frigoribacterium sp. RIT-PI-h
0	gi|18496889|ref|NP_569739.1|	83	1184570690	WP_085136719	86	52.5	42	73.6	9e-15	29314	hypothetical protein [Mycobacterium hiberniae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium hiberniae
0	gi|18496889|ref|NP_569739.1|	83	1178578306	WP_083094157	102	53.66	44	72.4	4e-14	560555	hypothetical protein [Mycobacterium mantenii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium mantenii
0	gi|18496889|ref|NP_569739.1|	83	1175488299	WP_082031031	82	63.33	38	70.5	1e-13	1522311	hypothetical protein [Tessaracoccus massiliensis]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus massiliensis
