qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712915473|ref|YP_009103212.1|	172	919473069	WP_052832935	180	36.53	61	98.2	5e-22	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|712915473|ref|YP_009103212.1|	172	1170088894	WP_080520507	175	34.59	46	83.6	1e-16	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|712915473|ref|YP_009103212.1|	172	951473831	WP_057845389	170	32.3	52	77.4	2e-14	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|712915473|ref|YP_009103212.1|	172	982122214	WP_060289690	155	37.04	50	75.1	1e-13	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|712915473|ref|YP_009103212.1|	172	981643428	WP_059842369	158	37.04	50	75.1	1e-13	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|712915473|ref|YP_009103212.1|	172	1223945867	WP_091977238	201	34.72	50	75.5	1e-13	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|712915473|ref|YP_009103212.1|	172	1170089122	WP_080520735	159	36.57	49	75.1	1e-13	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|712915473|ref|YP_009103212.1|	172	981366081	WP_059580595	158	36.3	49	72.8	8e-13	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|712915473|ref|YP_009103212.1|	172	492895971	WP_006026377	159	36.3	49	68.6	2e-11	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|712915473|ref|YP_009103212.1|	172	981272976	WP_059491520	159	36.3	49	68.6	2e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
