qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|32128413|ref|NP_858948.1|	72	924516585	WP_053520526	74	58.57	41	87.4	2e-20	347	hypothetical protein [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|32128414|ref|NP_858949.1|	101	924516584	WP_053520525	102	77.42	72	148	2e-43	347	hypothetical protein [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|32128414|ref|NP_858949.1|	101	916815021	WP_051422077	135	41.96	47	69.7	1e-12	1284392	hypothetical protein [Pseudomonas sp. FH1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FH1
0	gi|32128414|ref|NP_858949.1|	101	1057696114	WP_068967739	72	54.69	35	68.2	2e-12	294	hypothetical protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|32128414|ref|NP_858949.1|	101	917670805	WP_052224564	72	53.12	34	67	5e-12	136843	MULTISPECIES: hypothetical protein [Pseudomonas fluorescens group]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|32128414|ref|NP_858949.1|	101	1183624619	WP_084859341	70	53.23	33	65.1	2e-11	303	hypothetical protein [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|32128414|ref|NP_858949.1|	101	1332922470	WP_102882459	135	38.6	44	66.2	3e-11	380021	hypothetical protein [Pseudomonas protegens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens
0	gi|32128414|ref|NP_858949.1|	101	1028157827	WP_063906723	109	51.25	41	65.5	4e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|32128414|ref|NP_858949.1|	101	1178884602	WP_083263026	135	39.47	45	65.5	4e-11	1535632	hypothetical protein [Pseudomonas sp. AP42]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. AP42
0	gi|32128415|ref|NP_858950.1|	154	1176510185	WP_082337301	168	67.94	89	182	7e-55	347	HNH endonuclease [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|32128415|ref|NP_858950.1|	154	924516574	WP_053520515	171	63.24	86	181	2e-54	347	Fis family transcriptional regulator [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|32128415|ref|NP_858950.1|	154	502979246	WP_013214222	161	51.64	63	141	5e-39	53399	Fis family transcriptional regulator [Hyphomicrobium denitrificans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium denitrificans
0	gi|32128415|ref|NP_858950.1|	154	1275729698	WP_099801877	165	51.94	67	140	2e-38	338	MULTISPECIES: Fis family transcriptional regulator [Xanthomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
0	gi|32128415|ref|NP_858950.1|	154	1043581317	WP_065406268	206	50.77	66	136	1e-36	624	HNH endonuclease, partial [Shigella sonnei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
0	gi|32128415|ref|NP_858950.1|	154	655290243	WP_028699432	162	45.52	61	135	1e-36	76759	hypothetical protein [Pseudomonas monteilii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas monteilii
