qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|29134940|ref|NP_803570.1|	173	1045834972	WP_065526193	165	45.64	68	117	2e-29	414778	dihydrofolate reductase [Planococcus donghaensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus donghaensis
0	gi|29134940|ref|NP_803570.1|	173	495707297	WP_008431876	165	45.64	68	116	4e-29	414778	dihydrofolate reductase [Planococcus donghaensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus donghaensis
0	gi|29134940|ref|NP_803570.1|	173	493885353	WP_006831505	165	46.31	69	116	4e-29	161360	dihydrofolate reductase [Planococcus antarcticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus antarcticus
0	gi|29134940|ref|NP_803570.1|	173	495772953	WP_008497532	165	46.31	69	115	7e-29	1215089	dihydrofolate reductase [Planococcus halocryophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus halocryophilus
0	gi|29134940|ref|NP_803570.1|	173	1045833363	WP_065524587	165	39.64	67	115	9e-29	1302659	dihydrofolate reductase [Planococcus sp. L10.15]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus sp. L10.15
0	gi|29134940|ref|NP_803570.1|	173	963410303	WP_058380636	165	40.24	68	114	2e-28	200991	dihydrofolate reductase [Planococcus rifietoensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus rifietoensis
0	gi|29134940|ref|NP_803570.1|	173	1273023747	WP_099423517	156	40	64	113	7e-28	2048654	dihydrofolate reductase [Solibacillus sp. R5-41]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus sp. R5-41
0	gi|29134940|ref|NP_803570.1|	173	740918767	WP_038704014	165	44.3	66	113	8e-28	1526927	dihydrofolate reductase [Planococcus sp. PAMC 21323]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus sp. PAMC 21323
0	gi|29134940|ref|NP_803570.1|	173	963417723	WP_058385231	165	43.62	65	112	1e-27	1374	dihydrofolate reductase [Planococcus kocurii]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus kocurii
0	gi|29134940|ref|NP_803570.1|	173	1094166659	WP_071154571	165	43.62	65	112	1e-27	1598147	dihydrofolate reductase [Planococcus faecalis]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus faecalis
0	gi|29134940|ref|NP_803570.1|	173	518244150	WP_019414358	168	42.86	69	112	1e-27	1211706	dihydrofolate reductase [Paenisporosarcina sp. TG20]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	Paenisporosarcina sp. TG20
0	gi|29134940|ref|NP_803570.1|	173	921220776	WP_053165822	162	39.75	64	111	2e-27	459472	dihydrofolate reductase [Planomicrobium glaciei]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	Planomicrobium glaciei
0	gi|29134940|ref|NP_803570.1|	173	1233980158	WP_094624587	171	42.31	66	112	3e-27	355591	dihydrofolate reductase [Marinobacter vinifirmus]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter vinifirmus
0	gi|29134940|ref|NP_803570.1|	173	1124201000	WP_074509382	162	39.75	64	111	4e-27	459472	dihydrofolate reductase [Planomicrobium glaciei]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	Planomicrobium glaciei
0	gi|29134940|ref|NP_803570.1|	173	738916344	WP_036803184	162	41.61	62	111	4e-27	459472	dihydrofolate reductase [Planomicrobium glaciei]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	Planomicrobium glaciei
0	gi|29134940|ref|NP_803570.1|	173	1219328108	WP_089343943	160	36.26	62	111	4e-27	184748	dihydrofolate reductase [Paracoccus seriniphilus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus seriniphilus
0	gi|29134940|ref|NP_803570.1|	173	922985250	WP_053392836	160	40.36	67	110	6e-27	712357	dihydrofolate reductase [Leptotrichia sp. oral taxon 212]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia sp. oral taxon 212
0	gi|29134940|ref|NP_803570.1|	173	918984998	WP_052651468	159	42.28	63	110	6e-27	1499687	dihydrofolate reductase [Planococcus massiliensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus massiliensis
0	gi|29134940|ref|NP_803570.1|	173	658426618	WP_029652974	171	42.68	67	110	1e-26	262077	dihydrofolate reductase [Marinobacter daepoensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter daepoensis
0	gi|29134940|ref|NP_803570.1|	173	1057055667	WP_068462517	164	41.61	62	109	2e-26	192421	dihydrofolate reductase [Planococcus maritimus]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus maritimus
0	gi|29134940|ref|NP_803570.1|	173	1140860441	WP_076715717	170	39.77	68	109	2e-26	1897630	dihydrofolate reductase [Motiliproteus sp. MSK22-1]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Motiliproteus	Motiliproteus sp. MSK22-1
0	gi|29134940|ref|NP_803570.1|	173	1178869997	WP_083249517	164	41.61	62	109	2e-26	192421	dihydrofolate reductase [Planococcus maritimus]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus maritimus
0	gi|29134940|ref|NP_803570.1|	173	1056733767	WP_068157663	162	38.1	64	108	3e-26	1785996	dihydrofolate reductase [Leptotrichia sp. oral taxon 847]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia sp. oral taxon 847
0	gi|29134940|ref|NP_803570.1|	173	1181331921	WP_084632806	165	37.87	64	108	3e-26	1038856	dihydrofolate reductase [Planococcus plakortidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus plakortidis
0	gi|29134940|ref|NP_803570.1|	173	1057083006	WP_068485675	164	40.94	61	108	5e-26	192421	dihydrofolate reductase [Planococcus maritimus]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus maritimus
0	gi|29134940|ref|NP_803570.1|	173	1055813458	WP_067407224	160	39.75	64	108	5e-26	1759557	dihydrofolate reductase [Sporosarcina sp. HYO08]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. HYO08
0	gi|29134940|ref|NP_803570.1|	173	511760119	WP_016393328	171	37.87	64	108	5e-26	70775	dihydrofolate reductase [Pseudomonas plecoglossicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas plecoglossicida
0	gi|29134940|ref|NP_803570.1|	173	915711583	WP_050873655	167	37.18	58	108	5e-26	285	dihydrofolate reductase [Comamonas testosteroni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
0	gi|29134940|ref|NP_803570.1|	173	738264584	WP_036219340	171	41.67	65	108	6e-26	1396858	dihydrofolate reductase [Marinobacter sp. ES-1]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. ES-1
0	gi|29134940|ref|NP_803570.1|	173	960862255	WP_058340396	171	41.67	65	108	7e-26	1119533	dihydrofolate reductase [Marinobacter sp. P4B1]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. P4B1
0	gi|29134940|ref|NP_803570.1|	173	1183811094	WP_085012495	160	37.58	59	107	7e-26	727	type 3 dihydrofolate reductase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|29134940|ref|NP_803570.1|	173	1236144720	WP_094941946	159	40.97	59	107	8e-26	2020506	dihydrofolate reductase [Planococcaceae bacterium VT-49]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Tetzosporium	Tetzosporium hominis
0	gi|29134940|ref|NP_803570.1|	173	1130450071	WP_075617766	160	39.75	64	107	8e-26	650093	dihydrofolate reductase [Paenisporosarcina indica]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	Paenisporosarcina indica
