qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431810997|ref|YP_007238072.1|	78	924516584	WP_053520525	102	61.29	38	78.2	2e-16	347	hypothetical protein [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|431810998|ref|YP_007238073.1|	226	489390979	WP_003297534	258	42.25	79	123	5e-30	316	group I intron GIY-YIG endonuclease [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|431810998|ref|YP_007238073.1|	226	1159848486	WP_079382714	373	42.53	74	116	7e-27	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|431810998|ref|YP_007238073.1|	226	1188388912	WP_085510031	235	44.59	70	107	2e-24	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|431810998|ref|YP_007238073.1|	226	504952350	WP_015139452	226	36.97	61	101	3e-22	28072	group I intron endonuclease [Nostoc sp. PCC 7524]	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Nostoc	Nostoc sp. PCC 7524
0	gi|431810998|ref|YP_007238073.1|	226	917550567	WP_052151945	247	36.14	60	99	3e-21	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|431810998|ref|YP_007238073.1|	226	1173093718	WP_081043823	196	36.31	61	92.8	2e-19	359	hypothetical protein [Agrobacterium rhizogenes]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium rhizogenes
0	gi|431810998|ref|YP_007238073.1|	226	759002911	WP_043062376	241	32.46	62	92	9e-19	529	hypothetical protein [Ochrobactrum anthropi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum anthropi
0	gi|431810998|ref|YP_007238073.1|	226	1224281493	WP_092307832	209	42.76	62	90.9	2e-18	871741	hypothetical protein [Brevundimonas viscosa]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas viscosa
0	gi|431810998|ref|YP_007238073.1|	226	1173179112	WP_081070821	242	36.02	67	90.9	3e-18	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
