qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431810095|ref|YP_007236982.1|	554	914203421	WP_050519967	538	38.7	190	311	2e-94	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|431810095|ref|YP_007236982.1|	554	917087971	WP_051694683	560	37.2	173	287	3e-85	1402135	hypothetical protein [Sulfitobacter pseudonitzschiae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter pseudonitzschiae
0	gi|431810095|ref|YP_007236982.1|	554	1172447925	WP_080822704	565	35.26	165	285	1e-84	1183409	hypothetical protein [Agrobacterium genomosp. 2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium genomosp. 2
0	gi|431810095|ref|YP_007236982.1|	554	917027737	WP_051634449	549	36.19	169	284	3e-84	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|431810095|ref|YP_007236982.1|	554	1196501824	WP_086155960	556	36.96	170	283	9e-84	2020311	hypothetical protein [Rhizobium sp. Kim5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Kim5
0	gi|431810095|ref|YP_007236982.1|	554	1238746656	WP_095386085	544	34.73	166	278	7e-82	2012632	hypothetical protein [Sphingopyxis sp. GW247-27LB]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. GW247-27LB
0	gi|431810095|ref|YP_007236982.1|	554	1119858462	WP_072748414	528	35.04	164	268	2e-78	1189325	hypothetical protein [Oceanicella actignis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicella	Oceanicella actignis
0	gi|431810095|ref|YP_007236982.1|	554	740799131	WP_038584414	521	32.31	169	263	2e-76	399	hypothetical protein [Neorhizobium galegae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
0	gi|431810095|ref|YP_007236982.1|	554	935593987	WP_054463641	530	35.32	166	254	5e-73	1225647	hypothetical protein [Phaeobacter sp. 11ANDIMAR09]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter sp. 11ANDIMAR09
0	gi|431810095|ref|YP_007236982.1|	554	1011353041	WP_062266915	546	33.27	167	253	2e-72	1633495	hypothetical protein [Endozoicomonas arenosclerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas arenosclerae
0	gi|431810095|ref|YP_007236982.1|	554	1160676543	WP_079537387	556	32.51	157	249	3e-71	722472	hypothetical protein [Bradyrhizobium lablabi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium lablabi
0	gi|431810095|ref|YP_007236982.1|	554	918203633	WP_052340952	602	33.69	156	249	2e-70	552063	transcriptional regulator [Salinarimonas rosea]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Salinarimonas	Salinarimonas rosea
0	gi|431810095|ref|YP_007236982.1|	554	1223406175	WP_091444193	638	33.12	159	248	1e-69	177413	hypothetical protein [Ancylobacter rudongensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter rudongensis
0	gi|431810095|ref|YP_007236982.1|	554	1189256972	WP_085680334	507	33.4	162	241	2e-68	1420917	hypothetical protein [Marinobacter salarius]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter salarius
0	gi|431810095|ref|YP_007236982.1|	554	653408484	WP_027521773	562	33.67	169	236	4e-66	189753	hypothetical protein [Bradyrhizobium sp. Ec3.3]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Ec3.3
0	gi|431810095|ref|YP_007236982.1|	554	1181260408	WP_084570679	879	33.19	157	236	3e-64	107636	helix-turn-helix domain-containing protein [Methylosinus sp. PW1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Methylosinus sp. PW1
0	gi|431810095|ref|YP_007236982.1|	554	1277537691	WP_100078634	643	33.19	158	226	1e-61	2023338	hypothetical protein [Pleomorphomonas sp. SVCO-16]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	Pleomorphomonas sp. SVCO-16
0	gi|431810095|ref|YP_007236982.1|	554	1174865112	WP_081542559	456	32.75	151	216	1e-59	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|431810095|ref|YP_007236982.1|	554	1149105491	WP_077682012	463	33.48	155	213	2e-58	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|431810095|ref|YP_007236982.1|	554	1174877867	WP_081554902	480	32.78	159	213	3e-58	394935	hypothetical protein [Chromobacterium haemolyticum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum
0	gi|431810095|ref|YP_007236982.1|	554	759932469	WP_043617740	498	32.32	149	213	4e-58	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|431810095|ref|YP_007236982.1|	554	1048173437	WP_065783962	620	31.56	154	214	1e-57	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|431810095|ref|YP_007236982.1|	554	771495198	WP_045158732	503	33.33	157	211	3e-57	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|431810095|ref|YP_007236982.1|	554	917090079	WP_051696791	626	30.12	147	213	3e-57	359	hypothetical protein [Agrobacterium rhizogenes]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium rhizogenes
0	gi|431810095|ref|YP_007236982.1|	554	1041010594	WP_065202676	473	32.32	149	209	4e-57	251747	hypothetical protein [Chromobacterium subtsugae]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium subtsugae
0	gi|431810095|ref|YP_007236982.1|	554	518236961	WP_019407169	503	33.26	154	209	1e-56	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|431810095|ref|YP_007236982.1|	554	860371875	WP_048403447	498	32.1	148	209	1e-56	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
