qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|423262467|ref|YP_007011056.1|	157	505265968	WP_015453070	157	100	157	315	2e-107	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	505265926	WP_015453028	157	84.71	133	273	1e-90	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	1141277650	WP_076970584	157	80.89	127	266	5e-88	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141277594	WP_076970528	157	80.89	127	266	7e-88	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	736418853	WP_034441130	158	82.17	129	265	2e-87	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	506598125	WP_016062852	158	80.13	125	263	5e-87	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	505265931	WP_015453033	158	79.49	124	262	2e-86	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	1141276071	WP_076969261	157	78.98	124	261	3e-86	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276095	WP_076969285	158	78.34	123	261	4e-86	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276371	WP_076969561	158	79.62	125	261	4e-86	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141277584	WP_076970518	158	77.07	121	261	7e-86	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	800932603	WP_045961097	158	79.62	125	260	8e-86	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	557843468	WP_023466335	158	76.43	120	260	1e-85	309868	hypothetical protein [Candidatus Liberibacter americanus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter americanus
0	gi|423262467|ref|YP_007011056.1|	157	1141277599	WP_076970533	159	78.98	124	259	3e-85	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	800931807	WP_045960309	158	78.98	124	259	4e-85	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	800932284	WP_045960785	158	78.98	124	258	8e-85	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	557843461	WP_023466328	158	75.16	118	258	1e-84	309868	hypothetical protein [Candidatus Liberibacter americanus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter americanus
0	gi|423262467|ref|YP_007011056.1|	157	736419799	WP_034442002	158	78.34	123	257	2e-84	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	503227880	WP_013462541	158	78.34	123	256	4e-84	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276603	WP_076969793	158	76.43	120	255	1e-83	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	503226920	WP_013461581	158	78.34	123	254	3e-83	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	800932477	WP_045960975	153	79.74	122	253	5e-83	556287	hypothetical protein, partial [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	828173261	WP_047264097	158	76.43	120	249	2e-81	34020	hypothetical protein [Candidatus Liberibacter africanus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter africanus
0	gi|423262467|ref|YP_007011056.1|	157	800931920	WP_045960422	158	75.8	119	248	8e-81	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	800931984	WP_045960486	158	71.34	112	243	8e-79	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276544	WP_076969734	143	78.91	101	214	1e-67	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141277602	WP_076970536	143	78.12	100	212	5e-67	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	763174472	WP_044054119	156	69.39	102	207	1e-64	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276482	WP_076969672	125	78.05	96	202	2e-63	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	503227340	WP_013462001	125	75.2	94	191	7e-59	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	736419239	WP_034441489	125	75.2	94	190	1e-58	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	828173561	WP_047264397	172	53.53	91	190	5e-58	34020	hypothetical protein [Candidatus Liberibacter africanus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter africanus
0	gi|423262467|ref|YP_007011056.1|	157	1140930957	WP_076779058	105	82.86	87	174	1e-52	34021	hypothetical protein, partial [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	505265720	WP_015452822	151	50	79	160	8e-47	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	1141277612	WP_076970546	163	32.93	55	79.7	2e-15	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276516	WP_076969706	162	29.94	50	79.7	2e-15	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	1141276753	WP_076969943	163	29.94	50	79.3	3e-15	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262467|ref|YP_007011056.1|	157	916309049	WP_051044095	98	41.05	39	70.9	9e-13	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262467|ref|YP_007011056.1|	157	1121304810	WP_073616422	162	31.41	49	67.8	3e-11	231440	hypothetical protein [Desulfopila aestuarii]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfopila	Desulfopila aestuarii
0	gi|423262468|ref|YP_007011057.1|	90	505265969	WP_015453071	90	100	90	185	3e-58	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262468|ref|YP_007011057.1|	90	505265932	WP_015453034	90	98.89	89	184	7e-58	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262468|ref|YP_007011057.1|	90	686455931	WP_031935143	90	96.67	87	180	2e-56	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262468|ref|YP_007011057.1|	90	1140930917	WP_076779018	90	97.78	88	180	3e-56	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262468|ref|YP_007011057.1|	90	505265927	WP_015453029	90	95.56	86	179	1e-55	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262468|ref|YP_007011057.1|	90	506598154	WP_016062878	90	95.56	86	176	2e-54	34021	hypothetical protein [Candidatus Liberibacter asiaticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter asiaticus
0	gi|423262468|ref|YP_007011057.1|	90	1141275987	WP_076969177	85	62.22	56	109	1e-28	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262468|ref|YP_007011057.1|	90	1141277613	WP_076970547	85	57.78	52	105	3e-27	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262468|ref|YP_007011057.1|	90	1141277649	WP_076970583	85	60	54	104	1e-26	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
0	gi|423262468|ref|YP_007011057.1|	90	503226921	WP_013461582	85	54.44	49	102	1e-25	556287	hypothetical protein [Candidatus Liberibacter solanacearum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter solanacearum
