qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|608309542|ref|YP_009022085.1|	114	654812609	WP_028265924	101	75.25	76	152	1e-44	1101188	hypothetical protein [Arthrobacter sp. MA-N2]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. MA-N2
0	gi|608309542|ref|YP_009022085.1|	114	1098439658	WP_071216869	101	64.36	65	133	2e-37	1913576	hypothetical protein [Arthrobacter sp. UCD-GKA]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. UCD-GKA
0	gi|608309542|ref|YP_009022085.1|	114	880931072	WP_048679809	100	48.08	50	88.2	1e-19	1575	hypothetical protein [Leifsonia xyli]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia xyli
0	gi|608309542|ref|YP_009022085.1|	114	1126735733	WP_075201219	96	50.62	41	74.7	1e-14	1930747	hypothetical protein [Leucobacter musarum]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter musarum
0	gi|563398113|ref|YP_008857873.1|	484	1098439660	WP_071216870	469	81.24	381	811	0	1913576	hypothetical protein [Arthrobacter sp. UCD-GKA]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. UCD-GKA
0	gi|563398113|ref|YP_008857873.1|	484	916815977	WP_051423033	474	75.16	345	703	0	1101188	hypothetical protein [Arthrobacter sp. MA-N2]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. MA-N2
0	gi|563398113|ref|YP_008857873.1|	484	1183636012	WP_084869426	475	47.54	222	436	9e-145	43767	terminase [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|563398113|ref|YP_008857873.1|	484	759989919	WP_043673589	473	50	235	435	1e-144	1141657	terminase [Nocardia vulneris]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia vulneris
0	gi|563398113|ref|YP_008857873.1|	484	750490363	WP_040772234	490	48.05	222	432	5e-143	38312	terminase [Rhodococcus rhodnii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodnii
0	gi|563398113|ref|YP_008857873.1|	484	759443833	WP_043165858	482	46.32	220	428	1e-141	762209	terminase [Bifidobacterium callitrichos]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium callitrichos
