qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|509142178|ref|YP_008061040.1|	135	739325508	WP_037187965	195	43.22	51	84.3	4e-17	1827	MULTISPECIES: hypothetical protein [Rhodococcus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
0	gi|509142178|ref|YP_008061040.1|	135	739243042	WP_037106132	194	42.37	50	80.1	1e-15	1827	MULTISPECIES: hypothetical protein [Rhodococcus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
0	gi|509142178|ref|YP_008061040.1|	135	739320118	WP_037182600	194	42.37	50	80.1	1e-15	1828	hypothetical protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|509142178|ref|YP_008061040.1|	135	1234010716	WP_094651773	210	41.22	54	79	4e-15	1828	hypothetical protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|509142178|ref|YP_008061040.1|	135	1234095074	WP_094728135	194	41.53	49	78.2	6e-15	2022522	hypothetical protein [Rhodococcus sp. RS1C4]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. RS1C4
0	gi|509142178|ref|YP_008061040.1|	135	1234042033	WP_094679347	210	40.68	48	75.5	7e-14	2022508	hypothetical protein [Rhodococcus sp. 06-235-1A]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 06-235-1A
0	gi|509142178|ref|YP_008061040.1|	135	1215065896	WP_088945706	152	37.7	46	70.9	2e-12	2018041	hypothetical protein [Rhodococcus sp. 1168]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 1168
0	gi|509142178|ref|YP_008061040.1|	135	829033025	WP_047272502	167	36.75	43	70.9	2e-12	1833	hypothetical protein [Rhodococcus erythropolis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis
0	gi|509142178|ref|YP_008061040.1|	135	491656284	WP_005513003	198	34.45	41	70.5	3e-12	43767	hypothetical protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|509142178|ref|YP_008061040.1|	135	917461574	WP_052067992	164	36.84	42	68.2	2e-11	1828	hypothetical protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|509142178|ref|YP_008061040.1|	135	1124641694	WP_074922312	166	37.82	45	67.8	2e-11	293050	hypothetical protein [Rhodococcus kroppenstedtii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus kroppenstedtii
0	gi|509142178|ref|YP_008061040.1|	135	1056952505	WP_068365743	159	37.82	45	67.4	3e-11	293050	hypothetical protein [Rhodococcus kroppenstedtii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus kroppenstedtii
0	gi|509142178|ref|YP_008061040.1|	135	1132145796	WP_075833490	167	34.82	39	67	5e-11	1827	MULTISPECIES: hypothetical protein [Rhodococcus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
0	gi|509142179|ref|YP_008061041.1|	148	694016637	WP_032364009	137	37.5	42	71.2	1e-12	1828	hypothetical protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|509142181|ref|YP_008061043.1|	687	1042713283	WP_065286692	1077	56.38	243	504	4e-161	354243	hypothetical protein [Mycobacterium kumamotonense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kumamotonense
0	gi|509142181|ref|YP_008061043.1|	687	1042713283	WP_065286692	1077	41.91	101	179	2e-43	354243	hypothetical protein [Mycobacterium kumamotonense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kumamotonense
0	gi|509142181|ref|YP_008061043.1|	687	654591382	WP_028058380	684	32.81	232	317	6e-94	1298857	hypothetical protein [Solirubrobacter sp. URHD0082]	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter sp. URHD0082
0	gi|509142184|ref|YP_008061046.1|	153	1084307466	WP_070378427	147	58.33	84	187	5e-57	679318	hypothetical protein [Rhodococcus sp. WMMA185]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. WMMA185
0	gi|509142184|ref|YP_008061046.1|	153	1184754734	WP_085302768	150	45.45	65	120	3e-31	1069220	hypothetical protein [Mycobacterium koreense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium koreense
0	gi|509142184|ref|YP_008061046.1|	153	497629638	WP_009943822	149	43.88	61	116	2e-29	1836	hypothetical protein [Saccharopolyspora erythraea]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora erythraea
0	gi|509142184|ref|YP_008061046.1|	153	1198966732	WP_087078091	148	42.25	60	115	3e-29	482462	hypothetical protein [Mycobacterium dioxanotrophicus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium dioxanotrophicus
0	gi|509142184|ref|YP_008061046.1|	153	1132242367	WP_075909299	148	42.55	60	115	3e-29	1908205	hypothetical protein [Mycobacterium sp. 27335]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 27335
0	gi|509142184|ref|YP_008061046.1|	153	1180697294	WP_084182464	149	43.71	66	113	2e-28	39687	hypothetical protein [Mycobacterium austroafricanum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium austroafricanum
0	gi|509142184|ref|YP_008061046.1|	153	1180979219	WP_084395079	149	43.71	66	112	3e-28	228230	hypothetical protein [Mycobacterium canariasense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium canariasense
0	gi|509142184|ref|YP_008061046.1|	153	518175956	WP_019346164	148	42.25	60	112	4e-28	1763	MULTISPECIES: hypothetical protein [Mycobacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|509142184|ref|YP_008061046.1|	153	974583954	WP_059174427	153	41.1	60	111	1e-27	1829	hypothetical protein [Rhodococcus rhodochrous]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodochrous
0	gi|509142184|ref|YP_008061046.1|	153	916876178	WP_051483234	159	39.31	57	111	2e-27	1115632	hypothetical protein [Arthrobacter sp. 31Y]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. 31Y
0	gi|509142184|ref|YP_008061046.1|	153	1205083506	WP_087793350	153	43.79	67	109	7e-27	1982762	hypothetical protein [Streptomyces sp. CS159]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CS159
0	gi|509142184|ref|YP_008061046.1|	153	947733283	WP_056395423	142	40.58	56	107	5e-26	1736498	hypothetical protein [Aeromicrobium sp. Root236]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium sp. Root236
0	gi|509142184|ref|YP_008061046.1|	153	918718444	WP_052583279	151	41.22	61	106	1e-25	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|509142184|ref|YP_008061046.1|	153	947549356	WP_056213115	142	41.3	57	105	2e-25	1736521	hypothetical protein [Aeromicrobium sp. Root344]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium sp. Root344
