qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|330858459|ref|YP_004414834.1|	148	1333433869	WP_102990513	100	92	92	194	1e-60	1428	hypothetical protein, partial [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|330858461|ref|YP_004414836.1|	177	829934304	WP_047366673	173	47.8	76	134	4e-36	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|330858461|ref|YP_004414836.1|	177	1100920404	WP_071444882	146	33.78	50	90.1	3e-19	546	hypothetical protein [Citrobacter freundii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0	gi|330858461|ref|YP_004414836.1|	177	1001952082	WP_061360633	168	38.41	58	89.7	7e-19	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1261202667	WP_097751658	168	38.93	58	89	1e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1253094457	WP_096948078	168	38.26	57	88.2	2e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1252893263	WP_096841714	168	38.26	57	87.8	4e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	919597582	WP_052893075	168	38.93	58	87.8	4e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1221584854	WP_089718775	168	38.26	57	87.8	4e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	446560850	WP_000638196	179	38.26	57	87.8	4e-18	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	746394418	WP_039437062	145	35.25	49	87	5e-18	29495	hypothetical protein [Vibrio navarrensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio navarrensis
0	gi|330858461|ref|YP_004414836.1|	177	1257019645	WP_097477793	168	38.93	58	87.4	5e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1022683981	WP_063439210	146	31.69	45	86.7	5e-18	61645	hypothetical protein [Enterobacter asburiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
0	gi|330858461|ref|YP_004414836.1|	177	445943905	WP_000021760	168	37.84	56	87	6e-18	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1277361943	WP_100032487	168	38.26	57	87	6e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	693130991	WP_032275633	168	37.84	56	87	6e-18	562	3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1219466756	WP_089423746	167	38.26	57	86.7	8e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	974693499	WP_059276279	168	38.26	57	86.7	8e-18	208962	hypothetical protein [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|330858461|ref|YP_004414836.1|	177	754647797	WP_042032522	168	38.26	57	86.7	8e-18	562	3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	817679868	WP_046644544	168	38.26	57	86.7	8e-18	562	3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	723113664	WP_033558601	168	37.16	55	86.7	9e-18	543	MULTISPECIES: 3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|330858461|ref|YP_004414836.1|	177	835655186	WP_047602286	168	38.26	57	86.7	9e-18	562	3'-phosphatase, 5'-polynucleotide kinase,phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1245947547	WP_096179586	168	37.16	55	86.7	9e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	445943900	WP_000021755	168	38.26	57	86.7	9e-18	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|330858461|ref|YP_004414836.1|	177	510925822	WP_016246556	168	38.26	57	86.7	9e-18	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1255357989	WP_097428261	171	38.26	57	86.7	9e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	557818509	WP_023447862	146	33.33	49	86.3	9e-18	1282361	hypothetical protein [Asticcacaulis sp. AC402]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis sp. AC402
0	gi|330858461|ref|YP_004414836.1|	177	919918730	WP_052908447	168	38.26	57	86.7	9e-18	28901	3'-phosphatase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|330858461|ref|YP_004414836.1|	177	1211954521	WP_088543865	168	38.26	57	86.7	9e-18	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	754616032	WP_042004959	168	38.26	57	86.7	9e-18	562	3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	657341545	WP_029401419	168	38.26	57	86.7	1e-17	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|330858461|ref|YP_004414836.1|	177	1039004836	WP_064760754	154	38.26	57	86.3	1e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1325805875	WP_101687332	168	38.26	57	86.7	1e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1016483609	WP_063075106	168	37.16	55	86.7	1e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1255354670	WP_097426649	168	37.84	56	86.3	1e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	693205091	WP_032325281	168	37.58	56	86.3	1e-17	562	3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	835759133	WP_047653024	168	38.26	57	86.3	1e-17	562	3'-phosphatase, 5'-polynucleotide kinase,phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1221407994	WP_089589716	168	37.84	56	85.9	2e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1245791016	WP_096099270	168	37.16	55	85.9	2e-17	624	3'-phosphatase [Shigella sonnei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
0	gi|330858461|ref|YP_004414836.1|	177	1119726363	WP_072643602	168	37.16	55	85.9	2e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1041865158	WP_065226838	168	36.73	54	85.9	2e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1221142980	WP_089537745	168	36.94	58	85.5	2e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	445943902	WP_000021757	168	37.16	55	85.5	2e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1253925246	WP_096967029	168	36.49	54	85.5	2e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1325932385	WP_101804091	168	37.58	56	85.5	2e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1261191514	WP_097745515	168	37.16	55	85.5	3e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	835766673	WP_047655056	168	37.16	55	85.5	3e-17	562	3'-phosphatase, 5'-polynucleotide kinase,phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	445943904	WP_000021759	168	37.16	55	85.5	3e-17	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|330858461|ref|YP_004414836.1|	177	1122257820	WP_073991189	168	37.16	55	85.5	3e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1261202593	WP_097751590	167	37.58	56	85.1	3e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1221440978	WP_089613815	168	35.81	53	85.1	4e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	445943899	WP_000021754	168	37.58	56	85.1	4e-17	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|330858461|ref|YP_004414836.1|	177	1231406680	WP_094318252	174	37.58	56	85.1	4e-17	624	3'-phosphatase [Shigella sonnei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
0	gi|330858461|ref|YP_004414836.1|	177	1119755798	WP_072661257	168	36.49	54	85.1	4e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1221491242	WP_089641573	168	37.58	56	84.7	5e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	919566726	WP_052870172	168	36.49	54	84.7	5e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	923060950	WP_053444760	168	37.16	55	84.7	5e-17	28901	3'-phosphatase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|330858461|ref|YP_004414836.1|	177	835686451	WP_047615727	168	37.58	56	84.7	5e-17	562	3'-phosphatase, 5'-polynucleotide kinase,phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1016552409	WP_063119525	168	36.49	54	84.3	7e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	928845470	WP_053896066	168	35.81	53	84.3	8e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1277293116	WP_100005498	167	37.16	55	84	8e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	445943897	WP_000021752	168	37.16	55	84	8e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	487493530	WP_001702247	168	36.49	54	84	8e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	974635340	WP_059222011	168	36.49	54	84	8e-17	208962	hypothetical protein [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|330858461|ref|YP_004414836.1|	177	1277352519	WP_100031232	168	37.16	55	84	8e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	585363999	WP_024245587	168	35.81	53	84	9e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1201974001	WP_087650705	168	36.49	54	84	9e-17	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	445943915	WP_000021770	168	35.81	53	84	9e-17	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	671569118	WP_031549239	141	33.33	47	83.2	1e-16	1247963	hypothetical protein [Parvularcula oceani]	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula	Parvularcula oceani
0	gi|330858461|ref|YP_004414836.1|	177	1246117802	WP_096310742	168	36.49	54	84	1e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	585338928	WP_024220560	168	35.81	53	84	1e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1205045968	WP_087762053	168	37.58	56	83.6	1e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	486276698	WP_001569375	168	36.49	54	83.6	1e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	556506413	WP_023351462	168	35.81	53	83.6	1e-16	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|330858461|ref|YP_004414836.1|	177	1234400721	WP_094770766	168	35.81	53	83.6	1e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	974656351	WP_059241971	171	36.49	54	83.6	1e-16	208962	hypothetical protein [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|330858461|ref|YP_004414836.1|	177	1016498246	WP_063085141	168	36.49	54	83.2	2e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|330858461|ref|YP_004414836.1|	177	1061384048	WP_069187070	168	36.49	54	83.2	2e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
