qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|602259741|ref|YP_009021451.1|	96	738369627	WP_036321828	89	45.88	39	72	7e-14	95616	hypothetical protein [Microbacterium sp. B24]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. B24
0	gi|602259742|ref|YP_009021452.1|	312	1175265992	WP_081813787	576	60.66	74	135	3e-32	1479651	hypothetical protein [Microbacterium sp. CH12i]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. CH12i
0	gi|602259742|ref|YP_009021452.1|	312	1179988794	WP_083511148	281	47.86	67	107	2e-23	367477	hypothetical protein [Microbacterium sp. XT11]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. XT11
0	gi|602259746|ref|YP_009021456.1|	541	938896951	WP_054681225	503	30.23	169	242	4e-69	1714373	hypothetical protein [Microbacterium sp. No. 7]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7
0	gi|602259746|ref|YP_009021456.1|	541	1123553820	WP_074258825	462	27.56	113	122	1e-26	33878	hypothetical protein [Agromyces cerinus]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Agromyces cerinus
0	gi|602259747|ref|YP_009021457.1|	288	938896954	WP_054681227	320	35.53	113	150	4e-39	1714373	hypothetical protein [Microbacterium sp. No. 7]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7
0	gi|602259747|ref|YP_009021457.1|	288	1123553819	WP_074258824	282	29.97	89	94.4	6e-19	33878	hypothetical protein [Agromyces cerinus]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Agromyces cerinus
0	gi|602259747|ref|YP_009021457.1|	288	640734515	WP_025157273	297	30.32	94	92	3e-18	144185	hypothetical protein [Leifsonia aquatica]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia aquatica
0	gi|602259748|ref|YP_009021458.1|	1174	938896957	WP_054681229	1236	35.71	311	429	7e-126	1714373	phage tail tape measure protein [Microbacterium sp. No. 7]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7
0	gi|602259748|ref|YP_009021458.1|	1174	938896957	WP_054681229	1236	41.44	46	80.5	1e-11	1714373	phage tail tape measure protein [Microbacterium sp. No. 7]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7
0	gi|602259748|ref|YP_009021458.1|	1174	938899130	WP_054683061	1070	34.9	320	407	2e-119	1714373	phage tail tape measure protein [Microbacterium sp. No. 7]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7
0	gi|602259748|ref|YP_009021458.1|	1174	1175465276	WP_082008083	1199	35.1	179	264	2e-69	1348253	phage tail tape measure protein [Microbacterium mangrovi]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium mangrovi
