qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|509141659|ref|YP_008060524.1|	299	1122786323	WP_074146349	312	40.34	117	218	7e-65	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|509141659|ref|YP_008060524.1|	299	1208946743	WP_088209801	312	40.34	117	218	7e-65	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|509141659|ref|YP_008060524.1|	299	506529043	WP_015996055	312	40.42	116	218	8e-65	1396	membrane-associated protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141659|ref|YP_008060524.1|	299	1167889682	WP_080181600	312	39.93	115	216	6e-64	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|509141659|ref|YP_008060524.1|	299	916897434	WP_051504147	411	39.91	85	161	3e-42	392409	hypothetical protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|509141659|ref|YP_008060524.1|	299	1057312557	WP_068673783	390	40.09	91	157	4e-41	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|509141659|ref|YP_008060524.1|	299	640401587	WP_024892438	319	38.89	91	155	8e-41	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|509141659|ref|YP_008060524.1|	299	917083792	WP_051690504	321	50	76	152	1e-39	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|509141659|ref|YP_008060524.1|	299	517045615	WP_018234433	332	44.91	75	150	5e-39	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|509141659|ref|YP_008060524.1|	299	983583807	WP_060733665	384	41.76	71	148	1e-37	95486	hypothetical protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|509141659|ref|YP_008060524.1|	299	493375785	WP_006332079	254	34.35	79	135	1e-33	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|509141659|ref|YP_008060524.1|	299	917513436	WP_052119853	403	36.36	88	132	1e-31	171674	hypothetical protein [Inquilinus limosus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus limosus
