qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|682123898|ref|YP_009056213.1|	98	1167884500	WP_080178111	71	63.49	40	76.3	1e-15	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|682123898|ref|YP_009056213.1|	98	1016534847	WP_063108503	68	63.79	37	73.6	1e-14	584	hypothetical protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|682123898|ref|YP_009056213.1|	98	1054994910	WP_066747538	68	63.79	37	72.4	3e-14	184072	hypothetical protein [Cosenzaea myxofaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Cosenzaea	Cosenzaea myxofaciens
0	gi|682123898|ref|YP_009056213.1|	98	652555548	WP_026949137	73	63.64	35	72.4	3e-14	1380387	hypothetical protein [Alcanivorax sp. 43B_GOM-46m]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp. 43B_GOM-46m
0	gi|682123898|ref|YP_009056213.1|	98	896199683	WP_049206616	70	66.07	37	70.5	2e-13	584	hypothetical protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|682123898|ref|YP_009056213.1|	98	739106550	WP_036976912	70	64.29	36	70.5	2e-13	584	hypothetical protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|682123898|ref|YP_009056213.1|	98	1236167069	WP_094960289	70	64.29	36	70.1	3e-13	584	hypothetical protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|682123898|ref|YP_009056213.1|	98	1034526682	WP_064497297	68	62.07	36	69.7	3e-13	584	hypothetical protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|682123898|ref|YP_009056213.1|	98	917400402	WP_052007114	79	45.95	34	64.3	5e-11	1506587	hypothetical protein [Burkholderia paludis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia paludis
0	gi|682123899|ref|YP_009056214.1|	112	729052986	WP_033934247	126	99.11	111	226	2e-73	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123899|ref|YP_009056214.1|	112	729048814	WP_033931790	124	99.09	109	221	2e-71	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123900|ref|YP_009056215.1|	99	729048815	WP_033931791	99	100	99	201	4e-64	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123901|ref|YP_009056216.1|	98	729048816	WP_033931792	98	98.98	97	197	1e-62	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123902|ref|YP_009056217.1|	653	729048817	WP_033931793	653	100	653	1341	0	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123902|ref|YP_009056217.1|	653	729052987	WP_033934248	653	99.69	651	1337	0	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123903|ref|YP_009056218.1|	1416	729048818	WP_033931794	1416	99.79	1413	2909	0	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123903|ref|YP_009056218.1|	1416	729052988	WP_033934249	1235	99.76	1232	2538	0	666	hypothetical protein, partial [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|682123903|ref|YP_009056218.1|	1416	1160710825	WP_079570757	1664	25.52	122	103	2e-18	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|682123904|ref|YP_009056219.1|	147	729052966	WP_033934227	148	100	147	281	2e-94	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
