qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|399528634|ref|YP_006560621.1|	439	916752896	WP_051359952	487	42.33	182	326	2e-102	299567	hypothetical protein [Adhaeribacter aquaticus]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Adhaeribacter aquaticus
0	gi|399528634|ref|YP_006560621.1|	439	1275687169	WP_099765870	477	39.81	172	311	5e-97	2035213	hypothetical protein [Chryseobacterium sp. 52]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium sp. 52
0	gi|399528634|ref|YP_006560621.1|	439	1159273784	WP_079206575	490	41.26	184	311	1e-96	34085	hypothetical protein [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|399528634|ref|YP_006560621.1|	439	1224725735	WP_092743894	484	40.28	174	307	2e-95	651662	hypothetical protein [Hymenobacter psychrophilus]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter psychrophilus
0	gi|399528634|ref|YP_006560621.1|	439	1219317807	WP_089333903	488	39.5	173	306	8e-95	1411120	hypothetical protein [Hymenobacter mucosus]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter mucosus
0	gi|399528634|ref|YP_006560621.1|	439	517504647	WP_018674855	490	39.33	175	296	7e-91	103810	hypothetical protein [Riemerella columbina]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella columbina
0	gi|399528634|ref|YP_006560621.1|	439	1120314778	WP_073180231	491	39.36	172	295	1e-90	1118202	hypothetical protein [Cruoricaptor ignavus]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cruoricaptor	Cruoricaptor ignavus
0	gi|399528634|ref|YP_006560621.1|	439	1154886365	WP_078792912	517	38.8	168	293	1e-89	238	hypothetical protein [Elizabethkingia meningoseptica]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia meningoseptica
0	gi|399528634|ref|YP_006560621.1|	439	1198862630	WP_086979871	492	38.57	167	288	5e-88	172045	hypothetical protein [Elizabethkingia miricola]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia miricola
0	gi|399528634|ref|YP_006560621.1|	439	750398126	WP_040680036	466	38.95	164	281	2e-85	379900	hypothetical protein [Niabella aurantiaca]	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella	Niabella aurantiaca
0	gi|399528634|ref|YP_006560621.1|	439	1198868484	WP_086985173	492	37.59	165	281	5e-85	172045	hypothetical protein [Elizabethkingia miricola]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia miricola
0	gi|399528634|ref|YP_006560621.1|	439	1174054733	WP_081413899	475	38.89	168	280	5e-85	412438	hypothetical protein [Chryseobacterium daeguense]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium daeguense
0	gi|399528634|ref|YP_006560621.1|	439	1154891713	WP_078798184	517	38.71	168	279	4e-84	172045	hypothetical protein [Elizabethkingia miricola]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia miricola
